"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"94f4f8f9-8492-449c-8f74-d740210ea967","AD45:46.jpg","45r15","rect:x=1522,y=712,w=115,h=143","","","","","","","","","","","",""
"ab8a7a4e-52ef-4519-b6b8-8ceaebe48719","AD45:46.jpg","45r23","rect:x=1553,y=2327,w=105,h=92","","","","","","","","","","","",""
"eb324975-5a8b-435c-b431-e4d9c30bee55","AD45:46.jpg","45r25","rect:x=1354,y=300,w=112,h=130","","","","","","","","","","","",""
"015b35f0-ef20-4288-8ca5-402eff0053ab","AD45:46.jpg","45r33","rect:x=1384,y=2065,w=96,h=166","","","","","","","","","","","",""
"e8d7a1de-b894-4b69-9afa-0f9351fb7055","AD45:46.jpg","45r35","rect:x=1377,y=2597,w=114,h=103","","","","","","","","","","","",""
"d6b2734f-5ea5-495d-aa87-48687ebd914f","AD45:46.jpg","45r26","rect:x=1359,y=488,w=114,h=152","","","","","","","","","","","",""
"67c061ba-dca8-4bbe-a583-a2ca5a04a531","AD45:46.jpg","45r2","rect:x=1698,y=594,w=120,h=125","","","","","","","","","","","",""
"e048b5ae-7c36-4660-b39b-7be8952d0b8e","AD45:46.jpg","45r4","rect:x=1717,y=1006,w=112,h=89","","","","","","","","","","","",""
"0279d609-2100-4464-9ecd-28afd31bbfba","AD45:46.jpg","46r13","rect:x=662,y=937,w=124,h=108","","","","","","","","","","","",""
"2db246ae-a531-46cd-862a-098ab0dc7811","AD45:46.jpg","46r14","rect:x=664,y=1064,w=119,h=127","","","","","","","","","","","",""
"98f759a3-cc89-4436-a7ab-1ef022714d78","AD45:46.jpg","46r16","rect:x=670,y=1347,w=119,h=151","","","","","","","","","","","",""
"0a5fc915-35f3-4356-98f1-84d668edf3cc","AD45:46.jpg","45r18","rect:x=1530,y=1346,w=117,h=132","","","","","","","","","","","",""
"6d18ed1d-f8a4-4297-90ce-85c12cf4d06d","AD45:46.jpg","45r16","rect:x=1530,y=914,w=113,h=129","","","","","","","","","","","",""
"54865010-9b04-459c-8a79-eb20832f691c","AD45:46.jpg","45r1","rect:x=1699,y=399,w=121,h=120","","","","","","","","","","","",""
"9d8e3178-1528-4179-90f1-ffaeba340338","AD45:46.jpg","45r29","rect:x=1365,y=1275,w=111,h=115","","","","","","","","","","","",""
"d6e027a7-2f65-413f-a185-d9fffbbb9b57","AD45:46.jpg","45r24","rect:x=1556,y=2523,w=106,h=158","","","","","","","","","","","",""
"c8ef35ca-5422-49ee-a33d-2c0a024a05d8","AD45:46.jpg","45r21","rect:x=1549,y=1936,w=107,h=107","","","","","","","","","","","",""
"49c06bf1-e092-4ad6-b97d-866f0b3137c9","AD45:46.jpg","45r37","rect:x=1167,y=549,w=115,h=102","","","","","","","","","","","",""
"d4c81faf-87eb-4265-b4fa-6f2faf09a936","AD45:46.jpg","46r1","rect:x=823,y=410,w=114,h=141","","","","","","","","","","","",""
"4c15f633-65aa-4e19-9269-57b94112c3f3","AD45:46.jpg","46r4","rect:x=836,y=1085,w=125,h=132","","","","","","","","","","","",""
"05a1835d-4116-4d49-abc0-144b7d8b753f","AD45:46.jpg","46r9","rect:x=865,y=2329,w=127,h=347","","","","","","","","","","","",""
