"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"e7424a52-b944-4b2e-a50f-7976d7f3e6b6","AD3:6.jpg","3r19","rect:x=1578,y=1569,w=104,h=143","","","","","","","","","","","",""
"76c709a9-ac13-440e-b2c7-2494ca18e905","AD3:6.jpg","3r30","rect:x=1414,y=1520,w=100,h=159","","","","","","","","","","","",""
"67d33aeb-cfa5-4fd3-917c-51c3277974e6","AD3:6.jpg","3r28","rect:x=1417,y=1015,w=99,h=128","","","","","","","","","","","",""
"d4e4bbaa-8075-4b63-849f-54c3375470d2","AD3:6.jpg","3r26","rect:x=1414,y=586,w=100,h=131","","","","","","","","","","","",""
"96f55461-482a-4c25-8d41-6c996c562b24","AD3:6.jpg","3r27","rect:x=1414,y=824,w=100,h=132","","","","","","","","","","","",""
"d6161762-e943-4a30-9380-f7a5f7b626c7","AD3:6.jpg","6r19","rect:x=517,y=2505,w=110,h=152","","","","","","","","","","","",""
"644d8da9-70b9-42ea-8bf5-9e360ecf15cb","AD3:6.jpg","6r13","rect:x=514,y=1157,w=113,h=163","","","","","","","","","","","",""
"c51b3ddf-283f-4883-b585-ce5b188d151f","AD3:6.jpg","6r14","rect:x=522,y=1369,w=114,h=147","","","","","","","","","","","",""
"b1192cfd-03ef-4326-8fe5-00f72a22378e","AD3:6.jpg","6r17","rect:x=509,y=2024,w=127,h=216","","","","","","","","","","","",""
"b69be38d-b9a0-402a-829b-2d1c5d01e443","AD3:6.jpg","full ","rect:x=-20,y=10,w=2206,h=3098","","","","","","","","","","","",""
"fd97cf36-ee6f-4b8d-94a6-dccd1e9c6873","AD3:6.jpg","3r10","rect:x=1763,y=2337,w=108,h=154","","","","","","","","","","","",""
"97e3b50f-0b20-4bf0-b0aa-f6e9ae847118","AD3:6.jpg","3r17","rect:x=1574,y=1181,w=107,h=135","","","","","","","","","","","",""
"6d7f4fed-f311-4775-b09a-0b78672b786b","AD3:6.jpg","3r23","rect:x=1576,y=2475,w=103,h=175","","","","","","","","","","","",""
"24154e4d-77c6-43b0-9d31-606153d25e31","AD3:6.jpg","6r5","rect:x=688,y=2163,w=119,h=171","","","","","","","","","","","",""
"215ce643-4df2-49de-b880-a75658560814","AD3:6.jpg","6r8","rect:x=696,y=2768,w=111,h=149","","","","","","","","","","","",""
"fce9c19b-e2c3-4096-a93a-f0211b3e3d6b","AD3:6.jpg","6r9","rect:x=517,y=319,w=108,h=196","","","","","","","","","","","",""
"fec84668-f3fa-4e38-b871-efa62f44f363","AD3:6.jpg","3r13","rect:x=1576,y=336,w=112,h=109","","","","","","","","","","","",""
"fe046255-e6e8-4049-82b7-d7bb5d8c448b","AD3:6.jpg","3r21","rect:x=1578,y=2012,w=103,h=160","","","","","","","","","","","",""
"56e91ae0-90ac-4dae-b593-c2a6dc648231","AD3:6.jpg","3r20","rect:x=1577,y=1768,w=102,h=117","","","","","","","","","","","",""
"d50c628b-fee6-43ca-a7b9-b2aea183ba59","AD3:6.jpg","3r4","rect:x=1754,y=1094,w=115,h=151","","","","","","","","","","","",""
"55dfca88-c4a9-4bbb-86d9-3a3618f6772b","AD3:6.jpg","3r3","rect:x=1757,y=907,w=98,h=108","","","","","","","","","","","",""
"ba6c6977-b32b-4238-b039-b363a3e37022","AD3:6.jpg","3r9","rect:x=1755,y=2131,w=106,h=113","","","","","","","","","","","",""
"876b31c1-69ab-4b40-9bed-140d3b1cd812","AD3:6.jpg","3r18","rect:x=1579,y=1382,w=105,h=122","","","","","","","","","","","",""
"5b434e41-7534-4488-8eb4-254598c043a9","AD3:6.jpg","3r34","rect:x=1406,y=2347,w=103,h=166","","","","","","","","","","","",""
"2581c7f6-3500-4074-a512-a2c4fe746b98","AD3:6.jpg","3r7","rect:x=1752,y=1748,w=108,h=151","","","","","","","","","","","",""
"da634aad-3463-42de-8028-c0a8dd32d8fd","AD3:6.jpg","3r16","rect:x=1573,y=935,w=103,h=135","","","","","","","","","","","",""
"552bf76a-92cc-4cf0-8233-74460e5cfea0","AD3:6.jpg","6r12","rect:x=520,y=966,w=107,h=144","","","","","","","","","","","",""
"6020ed60-3ff8-42dd-a4e5-7e3e7f08937f","AD3:6.jpg","6r10","rect:x=522,y=565,w=111,h=172","","","","","","","","","","","",""
"af792a62-61c8-47c7-a5fc-72286d0d0389","AD3:6.jpg","6r22","rect:x=332,y=488,w=113,h=155","","","","","","","","","","","",""
"f31ee47d-f1b6-43b5-8008-e95744384b53","AD3:6.jpg","3r25","rect:x=1407,y=330,w=99,h=157","","","","","","","","","","","",""
"b64d1d0f-38bf-47b9-96de-8ee820787e26","AD3:6.jpg","3r22","rect:x=1579,y=2273,w=97,h=132","","","","","","","","","","","",""
"19cf07d6-e2a6-4d35-99e1-6d1c5acc8da8","AD3:6.jpg","6r20","rect:x=522,y=2685,w=111,h=116","","","","","","","","","","","",""
"9447ec31-948a-49e0-b011-b2098cf84554","AD3:6.jpg","3r12","rect:x=1762,y=2765,w=108,h=117","","","","","","","","","","","",""
"6f98309f-4a8f-4cfd-b576-156ad625685d","AD3:6.jpg","3r11","rect:x=1763,y=2572,w=110,h=138","","","","","","","","","","","",""
"1f095e44-81da-47c5-bcca-ad8fe5169036","AD3:6.jpg","3r14","rect:x=1574,y=524,w=101,h=115","","","","","","","","","","","",""
"408b0f17-ea8d-4ee8-9727-82d5b2a5195e","AD3:6.jpg","3r24","rect:x=1579,y=2733,w=101,h=119","","","","","","","","","","","",""
"c06e5e8d-675f-4eaf-8ba1-270236abdcb5","AD3:6.jpg","3r35","rect:x=1409,y=2599,w=101,h=140","","","","","","","","","","","",""
"41011d6f-2fb7-4e82-a4d8-dd2714c45bf8","AD3:6.jpg","3r29","rect:x=1415,y=1265,w=100,h=200","","","","","","","","","","","",""
"c97b9f26-5bba-44f7-a138-28d5623c94c8","AD3:6.jpg","3r33","rect:x=1407,y=2131,w=107,h=150","","","","","","","","","","","",""
"d71fda58-6f72-409b-b4a9-2aeb352c3470","AD3:6.jpg","6r11","rect:x=517,y=775,w=108,h=147","","","","","","","","","","","",""
"112aef66-6080-4d33-b474-28cea8b4b5bb","AD3:6.jpg","6r18","rect:x=517,y=2270,w=108,h=186","","","","","","","","","","","",""
"a72828c9-9fea-44f8-b1b1-b1c6331b3076","AD3:6.jpg","6r1","rect:x=685,y=971,w=119,h=130","","","","","","","","","","","",""
"281bd59d-b5e0-4f80-bcf3-5e58f4c4b51a","AD3:6.jpg","6r2","rect:x=677,y=1143,w=124,h=163","","","","","","","","","","","",""
"9a4866d4-ff94-4f72-bc6d-5eb752b848fc","AD3:6.jpg","3r1","rect:x=1770,y=474,w=97,h=114","","","","","","","","","","","",""
"cdb68508-3239-4bd6-b812-750c6576989f","AD3:6.jpg","3r8","rect:x=1754,y=1952,w=106,h=142","","","","","","","","","","","",""
"69594f88-8d44-43b7-bc2a-680beb03be57","AD3:6.jpg","3r5","rect:x=1753,y=1338,w=102,h=149","","","","","","","","","","","",""
"84b58744-2afa-4e98-ab88-47d1791e9d69","AD3:6.jpg","3r2","rect:x=1764,y=686,w=105,h=159","","","","","","","","","","","",""
"deb9b057-3de3-4231-a230-e1746affbf61","AD3:6.jpg","3r15","rect:x=1572,y=722,w=102,h=135","","","","","","","","","","","",""
"d4bbc058-b4b1-44ab-bd21-1ac69bfd0c28","AD3:6.jpg","3r31","rect:x=1413,y=1738,w=104,h=128","","","","","","","","","","","",""
"4271d26a-e249-418e-9942-d9d7b353bb8e","AD3:6.jpg","3r32","rect:x=1413,y=1899,w=100,h=140","","","","","","","","","","","",""
"53d57e9b-3450-41ff-94d7-1fe527154995","AD3:6.jpg","3r6","rect:x=1757,y=1538,w=105,h=131","","","","","","","","","","","",""
"78640036-d662-4313-8d4e-32917209c395","AD3:6.jpg","6r6","rect:x=702,y=2406,w=99,h=138","","","","","","","","","","","",""
"ec9bf2a1-1fba-48a9-88fc-c95d9352076b","AD3:6.jpg","6r15","rect:x=514,y=1568,w=113,h=166","","","","","","","","","","","",""
"44dce779-5246-4ef8-9ea7-6c620de63668","AD3:6.jpg","6r16","rect:x=514,y=1792,w=113,h=177","","","","","","","","","","","",""
"f1ad17e2-4a0c-44b5-8aec-02b59d14157c","AD3:6.jpg","6r21","rect:x=334,y=308,w=111,h=147","","","","","","","","","","","",""
"2bd1b36f-e920-475d-93d6-1bdacb2a1ccf","AD3:6.jpg","6r7","rect:x=691,y=2569,w=116,h=155","","","","","","","","","","","",""
"1f508012-027e-4fa2-a550-a2bfd67150cc","AD3:6.jpg","6r4","rect:x=699,y=1944,w=97,h=163","","","","","","","","","","","",""
"7d854247-5b0a-4104-93d7-c75befd318de","AD3:6.jpg","3r36","rect:x=1228,y=331,w=104,h=196","","","","","","","","","","","",""
"74eaeecf-7dd2-4bcb-83c2-502f92203629","AD3:6.jpg","6r3","rect:x=688,y=1386,w=111,h=135","","","","","","","","","","","",""
