"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"a7a93b3f-c0d4-4962-96bd-ea889149c45f","SB63a:47:23a:51b.jpg","51br7","rect:x=549,y=1097,w=70,h=65","","","","","","","","","","","",""
"abec6c48-6eb6-4a6c-9b6e-f6276fce28af","SB63a:47:23a:51b.jpg","51br15","rect:x=551,y=2142,w=62,h=80","","","","","","","","","","","",""
"f00ec8bd-b6eb-477a-8e70-ff8eb5e9cf66","SB63a:47:23a:51b.jpg","51br3","rect:x=547,y=539,w=68,h=77","","","","","","","","","","","",""
"476772f2-d8b6-4b76-aedf-f1a63551e9c5","SB63a:47:23a:51b.jpg","63ar6","rect:x=1658,y=1098,w=93,h=69","","","","","","","","","","","",""
"d1de6a85-9797-478b-8557-a66cf93f92ab","SB63a:47:23a:51b.jpg","63ar15","rect:x=1660,y=2335,w=81,h=77","","","","","","","","","","","",""
"81de7a2c-7d47-4cbc-8d26-5131c6a1ed84","SB63a:47:23a:51b.jpg","63ar13","rect:x=1659,y=2078,w=83,h=74","","","","","","","","","","","",""
"5322eca6-c1ce-4ffd-b53c-00e5c5ad5273","SB63a:47:23a:51b.jpg","47r8","rect:x=1293,y=1199,w=78,h=84","","","","","","","","","","","",""
"80ed6ced-42be-4f8d-912b-4f1cd3a05f59","SB63a:47:23a:51b.jpg","47r13","rect:x=1293,y=1898,w=73,h=74","","","","","","","","","","","",""
"43451811-2a5d-4821-b53a-6be7f61889d7","SB63a:47:23a:51b.jpg","47r12","rect:x=1298,y=1751,w=71,h=82","","","","","","","","","","","",""
"9fceb755-1a42-461a-a726-ee15012477db","SB63a:47:23a:51b.jpg","23ar8","rect:x=925,y=1259,w=76,h=48","","","","","","","","","","","",""
"27af7aa9-f4ad-4737-a825-ac72092ad7be","SB63a:47:23a:51b.jpg","23ar7","rect:x=917,y=1149,w=84,h=68","","","","","","","","","","","",""
"5a38c8e2-e007-4977-8c41-20ae6b8211f7","SB63a:47:23a:51b.jpg","23ar6","rect:x=921,y=1029,w=82,h=74","","","","","","","","","","","",""
"6e7a986b-7faf-4942-a20d-00f044a38bdd","SB63a:47:23a:51b.jpg","63ar2","rect:x=1669,y=573,w=71,h=54","","","","","","","","","","","",""
"39482358-8f56-482e-956a-3873738c80f2","SB63a:47:23a:51b.jpg","47r15","rect:x=1299,y=2211,w=70,h=81","","","","","","","","","","","",""
"29b16c31-b63b-43a7-8c58-c1263ec6b3f8","SB63a:47:23a:51b.jpg","51br4","rect:x=547,y=681,w=71,h=93","","","","","","","","","","","",""
"1abfee53-a5ee-420e-950d-129053637af6","SB63a:47:23a:51b.jpg","63ar9","rect:x=1660,y=1500,w=89,h=60","","","","","","","","","","","",""
"59466f77-e2fa-4b58-a351-4d69165cc8da","SB63a:47:23a:51b.jpg","47r14","rect:x=1287,y=2045,w=87,h=116","","","","","","","","","","","",""
"638d5e40-7edc-4cf3-bbb9-3b41f1914a73","SB63a:47:23a:51b.jpg","23ar5","rect:x=920,y=911,w=81,h=63","","","","","","","","","","","",""
"4937bc37-826a-45fb-b078-85afc24e07bf","SB63a:47:23a:51b.jpg","23ar16","rect:x=920,y=2164,w=87,h=62","","","","","","","","","","","",""
"8e453ef6-ba99-497b-a5b0-24d154ffa269","SB63a:47:23a:51b.jpg","23ar9","rect:x=924,y=1371,w=71,h=48","","","","","","","","","","","",""
"9489e91e-627e-46e4-bd7c-8ec9b58b9983","SB63a:47:23a:51b.jpg","51br10","rect:x=547,y=1468,w=75,h=86","","","","","","","","","","","",""
"d8aa8b05-ea3d-4c49-8abd-6aa26cc2fd86","SB63a:47:23a:51b.jpg","47r2","rect:x=1293,y=429,w=78,h=88","","","","","","","","","","","",""
"0fad437a-2d65-4f34-a58a-57046d8b0470","SB63a:47:23a:51b.jpg","47r4","rect:x=1296,y=677,w=71,h=86","","","","","","","","","","","",""
"7a33e7c3-a636-4876-84c5-4a41a5674a40","SB63a:47:23a:51b.jpg","47r7","rect:x=1292,y=1083,w=87,h=60","","","","","","","","","","","",""
"cb24325e-b9bd-4af7-9b89-cce05dc946ae","SB63a:47:23a:51b.jpg","47r5","rect:x=1292,y=810,w=83,h=86","","","","","","","","","","","",""
"dc4ab1e9-b00e-4f4a-b5ff-39e38768ae79","SB63a:47:23a:51b.jpg","23ar17","rect:x=921,y=2248,w=80,h=71","","","","","","","","","","","",""
"dc5eaf64-75a7-427f-a0fb-c1b41fa9392c","SB63a:47:23a:51b.jpg","23ar3","rect:x=917,y=608,w=82,h=107","","","","","","","","","","","",""
"2dd49b60-e33d-44a9-a9ad-8dba8432d215","SB63a:47:23a:51b.jpg","63ar7","rect:x=1663,y=1231,w=76,h=79","","","","","","","","","","","",""
"5268f6e7-fe1b-4d8d-9bd9-4708e52a323c","SB63a:47:23a:51b.jpg","63ar3","rect:x=1667,y=700,w=74,h=77","","","","","","","","","","","",""
"facd6d81-ec04-4328-b9d8-13ac1dea4345","SB63a:47:23a:51b.jpg","63ar4","rect:x=1666,y=847,w=74,h=46","","","","","","","","","","","",""
"77f091b8-d254-4ced-9c58-7cfdfcee56e9","SB63a:47:23a:51b.jpg","63ar10","rect:x=1663,y=1625,w=70,h=78","","","","","","","","","","","",""
"d383845f-225c-42c5-84f5-9d15ae360063","SB63a:47:23a:51b.jpg","51br14","rect:x=548,y=2017,w=68,h=87","","","","","","","","","","","",""
