"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"d5b9fd11-2855-4e11-966d-200d3193774a","AD17:18.jpg","17r13","rect:x=1589,y=491,w=113,h=156","","","","","","","","","","","",""
"e41bb7ed-37b0-436b-8807-94c4e9a85ba0","AD17:18.jpg","17r11","rect:x=1758,y=2617,w=114,h=137","","","","","","","","","","","",""
"fa4350da-43c4-4e09-8f5f-f4598c9929ec","AD17:18.jpg","17r17","rect:x=1571,y=1286,w=123,h=107","","","","","","","","","","","",""
"e6d81f39-9abf-44c9-ac7c-f19f0a7fb9d0","AD17:18.jpg","17r14","rect:x=1583,y=730,w=115,h=149","","","","","","","","","","","",""
"a4646151-8e8e-4ad8-be45-eb71987943a8","AD17:18.jpg","17r22","rect:x=1594,y=2406,w=111,h=149","","","","","","","","","","","",""
"52688068-cd15-4cc8-96d8-32d5974e72a5","AD17:18.jpg","17r36","rect:x=1398,y=2539,w=106,h=150","","","","","","","","","","","",""
"542df52e-304e-4773-be56-1a12b1bb53d9","AD17:18.jpg","18r1","rect:x=869,y=365,w=106,h=134","","","","","","","","","","","",""
"b26bc82d-08b3-4c99-a91f-65ed7c90d6b2","AD17:18.jpg","18r5","rect:x=871,y=1008,w=110,h=90","","","","","","","","","","","",""
"9d599992-c5ce-424f-8552-b4c385265a72","AD17:18.jpg","18r22","rect:x=706,y=1745,w=103,h=123","","","","","","","","","","","",""
"fb226f61-cfd8-4354-84f3-61828b69f286","AD17:18.jpg","18r28","rect:x=527,y=475,w=103,h=144","","","","","","","","","","","",""
"d3b60804-8d9d-48a8-8a0c-f4a3e3fa155d","AD17:18.jpg","18r44","rect:x=345,y=875,w=104,h=142","","","","","","","","","","","",""
