"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"e2d53d41-a5ff-4603-b3ca-f7bee760845a","SB20:21:22:25.jpg","20r5","rect:x=1730,y=975,w=70,h=78","","","","","","","","","","","",""
"4176f959-ed14-4bc3-acef-f9c131bd3281","SB20:21:22:25.jpg","20r2","rect:x=1729,y=566,w=65,h=97","","","","","","","","","","","",""
"ba15a685-cd57-445a-8389-025bc3276cca","SB20:21:22:25.jpg","20r22","rect:x=1608,y=909,w=65,h=97","","","","","","","","","","","",""
"5f6fc39f-0326-48b2-9319-2797773fb1ba","SB20:21:22:25.jpg","20r18","rect:x=1607,y=372,w=72,h=99","","","","","","","","","","","",""
"a0ecba83-94d3-440b-bec3-f265a4957c34","SB20:21:22:25.jpg","20r30","rect:x=1610,y=1989,w=66,h=78","","","","","","","","","","","",""
"038cc8ea-0525-408e-9ead-56831a28ed35","SB20:21:22:25.jpg","20r24","rect:x=1614,y=1193,w=53,h=81","","","","","","","","","","","",""
"27153c1e-e3bb-41a5-9aea-992037361771","SB20:21:22:25.jpg","20r19","rect:x=1611,y=515,w=62,h=76","","","","","","","","","","","",""
"1b8bcd0d-4db0-42a6-8c84-b2da4b17c6ab","SB20:21:22:25.jpg","21r1","rect:x=1375,y=421,w=64,h=103","","","","","","","","","","","",""
"1a923eee-3b23-4b04-9d39-fc0005c5fd76","SB20:21:22:25.jpg","21r9","rect:x=1381,y=1535,w=61,h=84","","","","","","","","","","","",""
"cca9c0eb-0eb1-4623-aebc-c79154fc9deb","SB20:21:22:25.jpg","21r28","rect:x=1225,y=1987,w=59,h=62","","","","","","","","","","","",""
"f3121328-1d53-47e0-adf1-1f3c7ed93927","SB20:21:22:25.jpg","22r21","rect:x=764,y=861,w=68,h=86","","","","","","","","","","","",""
"ca4939fa-7c6d-4d98-a046-ae000220f45d","SB20:21:22:25.jpg","22r7","rect:x=982,y=1195,w=64,h=108","","","","","","","","","","","",""
"0ed8f4be-3823-4600-bbf8-d4a1e8cb2c16","SB20:21:22:25.jpg","22r8","rect:x=982,y=1354,w=66,h=74","","","","","","","","","","","",""
"daecea8b-6dd3-41d4-927f-7e77cad0b25f","SB20:21:22:25.jpg","22r18","rect:x=764,y=457,w=68,h=84","","","","","","","","","","","",""
"ed044b22-71e1-40e4-b4cf-52974fe127ec","SB20:21:22:25.jpg","25r26","rect:x=409,y=1466,w=64,h=66","","","","","","","","","","","",""
"72a4b1f8-f8d0-40b7-ab60-d9f451e717cc","SB20:21:22:25.jpg","25r25","rect:x=407,y=1343,w=64,h=81","","","","","","","","","","","",""
"c552be78-7352-4c7f-81c2-06363a439052","SB20:21:22:25.jpg","25r21","rect:x=405,y=858,w=63,h=98","","","","","","","","","","","",""
"d17e5951-3415-4969-8e34-f5d5de318cd9","SB20:21:22:25.jpg","25r11","rect:x=527,y=1626,w=57,h=89","","","","","","","","","","","",""
"a51e5743-a6c8-4345-914e-93ca9d2ec834","SB20:21:22:25.jpg","25r32","rect:x=405,y=2157,w=73,h=107","","","","","","","","","","","",""
"c6af878e-c779-4090-bf77-41dc3b2a7c9b","SB20:21:22:25.jpg","22r27","rect:x=763,y=1692,w=63,h=55","","","","","","","","","","","",""
"26c696cf-24e1-48c2-a9ae-f0e1209fa1d0","SB20:21:22:25.jpg","21r11","rect:x=1379,y=1805,w=66,h=124","","","","","","","","","","","",""
"5c8f8a64-3983-48cb-b7a7-a8dc2f76a892","SB20:21:22:25.jpg","20r13","rect:x=1738,y=1959,w=59,h=71","","","","","","","","","","","",""
"29643ec5-1ddc-4edc-8b6b-4c0cb93b3e2a","SB20:21:22:25.jpg","20r27","rect:x=1608,y=1589,w=70,h=115","","","","","","","","","","","",""
"b152ffa6-95ce-4139-a742-1388cb328e52","SB20:21:22:25.jpg","20r29","rect:x=1611,y=1853,w=64,h=116","","","","","","","","","","","",""
"80b316c8-5d18-438a-887a-34756b924afe","SB20:21:22:25.jpg","20r11","rect:x=1733,y=1738,w=68,h=83","","","","","","","","","","","",""
"b267304e-d4d5-4e33-ba1c-5639677a6e6a","SB20:21:22:25.jpg","20r26","rect:x=1610,y=1446,w=65,h=98","","","","","","","","","","","",""
"cc722076-7b8f-479d-9a4c-c3c82f410b11","SB20:21:22:25.jpg","20r32","rect:x=1613,y=2220,w=63,h=83","","","","","","","","","","","",""
"f35e6d35-4470-4f46-bd39-5abb328e4408","SB20:21:22:25.jpg","20r31","rect:x=1613,y=2098,w=67,h=98","","","","","","","","","","","",""
"80335a29-85f4-4371-b5ec-5c57c2b3fded","SB20:21:22:25.jpg","20r21","rect:x=1607,y=763,w=63,h=97","","","","","","","","","","","",""
"f177f0ba-fbd4-47a3-bee0-7c26ff62ca60","SB20:21:22:25.jpg","21r3","rect:x=1377,y=717,w=67,h=84","","","","","","","","","","","",""
"c4532b07-7b34-426f-ada4-de78cd6188fa","SB20:21:22:25.jpg","21r12","rect:x=1380,y=1978,w=59,h=88","","","","","","","","","","","",""
"87b59fa4-09d5-4bdc-bf51-a4eee544927a","SB20:21:22:25.jpg","22r2","rect:x=982,y=552,w=66,h=79","","","","","","","","","","","",""
"846c90d1-8f10-4a31-b6fe-e991dd7291ba","SB20:21:22:25.jpg","21r23","rect:x=1221,y=1323,w=58,h=97","","","","","","","","","","","",""
"66a9ec80-3b6c-41a9-803b-f06893684647","SB20:21:22:25.jpg","21r19","rect:x=1216,y=767,w=60,h=75","","","","","","","","","","","",""
"8ccfda1c-7d7d-4c7f-a73b-43fb66c29d11","SB20:21:22:25.jpg","21r24","rect:x=1222,y=1464,w=61,h=97","","","","","","","","","","","",""
"07172321-87d9-4996-997d-95db2c4b9f12","SB20:21:22:25.jpg","22r12","rect:x=985,y=1894,w=62,h=95","","","","","","","","","","","",""
"ca00ee7b-9cae-4d7e-8a3e-b19792220447","SB20:21:22:25.jpg","25r27","rect:x=408,y=1578,w=64,h=82","","","","","","","","","","","",""
"98bd75da-6411-4dfe-8164-ed1e5d454a96","SB20:21:22:25.jpg","25r16","rect:x=528,y=2338,w=64,h=108","","","","","","","","","","","",""
"3666402d-0161-4e2c-ab8b-76997357d812","SB20:21:22:25.jpg","25r22","rect:x=407,y=1006,w=63,h=71","","","","","","","","","","","",""
"1af4d6ea-76b3-49e6-b127-d7441124019b","SB20:21:22:25.jpg","25r10","rect:x=530,y=1533,w=54,h=72","","","","","","","","","","","",""
"4f132982-37bd-4371-9f80-9e15906d30ed","SB20:21:22:25.jpg","25r5","rect:x=525,y=906,w=59,h=92","","","","","","","","","","","",""
"ff743943-e93c-4728-84f7-57ef7c6210e0","SB20:21:22:25.jpg","25r6","rect:x=523,y=1021,w=63,h=70","","","","","","","","","","","",""
"1bf42ef3-e982-4f76-8589-17ad1767c74e","SB20:21:22:25.jpg","25r4","rect:x=521,y=766,w=60,h=74","","","","","","","","","","","",""
"b9297bd7-71a7-4908-b5d8-b14011fbb090","SB20:21:22:25.jpg","20r1","rect:x=1733,y=418,w=60,h=112","","","","","","","","","","","",""
"11b4f721-e37f-4ec9-8e03-31db5e21e170","SB20:21:22:25.jpg","20r12","rect:x=1735,y=1860,w=62,h=75","","","","","","","","","","","",""
"591ca505-ce97-45fb-9093-eba66e21e6a4","SB20:21:22:25.jpg","20r4","rect:x=1726,y=832,w=68,h=108","","","","","","","","","","","",""
"710d93ec-edb7-4270-9c5c-923f8cb48cce","SB20:21:22:25.jpg","20r15","rect:x=1739,y=2249,w=62,h=102","","","","","","","","","","","",""
"fd766c3b-3a89-480e-a3c6-c769d62bf275","SB20:21:22:25.jpg","20r10","rect:x=1732,y=1608,w=65,h=93","","","","","","","","","","","",""
"a248b8b8-4c9e-498e-81de-7481c96aa466","SB20:21:22:25.jpg","20r3","rect:x=1730,y=706,w=64,h=77","","","","","","","","","","","",""
"4f1282d3-42a9-40a7-83fa-a49d5e708571","SB20:21:22:25.jpg","20r6","rect:x=1730,y=1079,w=68,h=84","","","","","","","","","","","",""
"04a21167-0948-4650-b519-be34a4a516b0","SB20:21:22:25.jpg","20r7","rect:x=1733,y=1219,w=61,h=109","","","","","","","","","","","",""
"f73d66d5-27a2-41cf-bce5-c303866e1ad2","SB20:21:22:25.jpg","21r2","rect:x=1378,y=578,w=63,h=84","","","","","","","","","","","",""
"16a3d29f-547c-4486-b71e-13e52bcda0f5","SB20:21:22:25.jpg","21r8","rect:x=1380,y=1399,w=65,h=102","","","","","","","","","","","",""
"60546864-303a-4396-8955-4fa67712c193","SB20:21:22:25.jpg","21r7","rect:x=1379,y=1258,w=61,h=82","","","","","","","","","","","",""
"547e204c-5d4b-46cd-82a7-5e8df309c097","SB20:21:22:25.jpg","22r31","rect:x=764,y=2193,w=65,h=73","","","","","","","","","","","",""
"6ad32bc9-fc11-417f-819d-befa710a29a1","SB20:21:22:25.jpg","21r20","rect:x=1215,y=899,w=66,h=82","","","","","","","","","","","",""
"f409b943-c973-4a40-8661-64358db08882","SB20:21:22:25.jpg","21r17","rect:x=1215,y=471,w=63,h=74","","","","","","","","","","","",""
"511f2274-3852-493b-9b74-35457db6aba1","SB20:21:22:25.jpg","21r29","rect:x=1226,y=2120,w=59,h=70","","","","","","","","","","","",""
"1777ae49-b88f-4b2b-8b4a-7b862de27d97","SB20:21:22:25.jpg","21r21","rect:x=1217,y=1031,w=65,h=85","","","","","","","","","","","",""
"de8c4ed0-a288-4bc5-b456-7af60d1c7711","SB20:21:22:25.jpg","22r25","rect:x=764,y=1412,w=62,h=118","","","","","","","","","","","",""
"dba5ed10-4247-4418-9835-00805647e410","SB20:21:22:25.jpg","22r17","rect:x=760,y=319,w=66,h=68","","","","","","","","","","","",""
"9811edcf-9934-4015-afdc-976ec6497829","SB20:21:22:25.jpg","22r16","rect:x=986,y=2422,w=66,h=57","","","","","","","","","","","",""
"7c2df787-267a-449b-9ffe-29da1d732887","SB20:21:22:25.jpg","22r22","rect:x=763,y=1012,w=65,h=78","","","","","","","","","","","",""
"fa16af6c-5d68-4d16-92de-6ad2a05ee4e4","SB20:21:22:25.jpg","22r6","rect:x=979,y=1057,w=69,h=76","","","","","","","","","","","",""
"c9a6d318-872e-424a-9993-7cc8f912fc14","SB20:21:22:25.jpg","22r4","rect:x=982,y=810,w=64,h=81","","","","","","","","","","","",""
"f9e2a6cd-2af3-4308-a659-5b8d92726924","SB20:21:22:25.jpg","25r15","rect:x=528,y=2155,w=63,h=130","","","","","","","","","","","",""
"5c712d1a-3194-42ee-8616-3909011b1631","SB20:21:22:25.jpg","25r23","rect:x=405,y=1111,w=63,h=96","","","","","","","","","","","",""
"41268309-e296-4fd1-86cc-0fba8e492987","SB20:21:22:25.jpg","25r20","rect:x=400,y=721,w=71,h=84","","","","","","","","","","","",""
"4c389738-32cc-4230-96e7-51a017f44803","SB20:21:22:25.jpg","25r31","rect:x=405,y=2044,w=72,h=84","","","","","","","","","","","",""
"06852077-00ff-4182-9e4b-68068ca7d2e3","SB20:21:22:25.jpg","25r1","rect:x=523,y=398,w=58,h=99","","","","","","","","","","","",""
"d1a7b8d7-08c4-4177-b211-be8e7ca29b3b","SB20:21:22:25.jpg","20r8","rect:x=1736,y=1374,w=62,h=64","","","","","","","","","","","",""
"4ddb0b8d-cb4f-4f08-8bb6-d6ed39cbf881","SB20:21:22:25.jpg","20r9","rect:x=1736,y=1469,w=58,h=89","","","","","","","","","","","",""
"195b0e98-9e8c-4403-bb18-779c1bc1fbc2","SB20:21:22:25.jpg","20r17","rect:x=1735,y=2568,w=72,h=82","","","","","","","","","","","",""
"0183a255-6120-45c2-8bff-a610f50c14c6","SB20:21:22:25.jpg","20r16","rect:x=1733,y=2451,w=70,h=81","","","","","","","","","","","",""
"019d59db-3980-4a91-bec6-d65dec5a238e","SB20:21:22:25.jpg","20r20","rect:x=1605,y=636,w=73,h=95","","","","","","","","","","","",""
"999f0ad0-84e1-4225-be5f-7d1d897de94b","SB20:21:22:25.jpg","20r25","rect:x=1611,y=1302,w=67,h=116","","","","","","","","","","","",""
"e8201da1-86c6-45ca-8e9b-7667996e214c","SB20:21:22:25.jpg","21r13","rect:x=1379,y=2136,w=62,h=100","","","","","","","","","","","",""
"74b941f2-6a51-40ae-97c5-d36632afe8ac","SB20:21:22:25.jpg","21r4","rect:x=1379,y=858,w=63,h=97","","","","","","","","","","","",""
"b1c9d7c8-1f18-4160-b962-9fae45bfeeac","SB20:21:22:25.jpg","21r5","rect:x=1379,y=998,w=61,h=84","","","","","","","","","","","",""
"b77ce2c4-3ff2-4d57-a8fc-60561530f7a1","SB20:21:22:25.jpg","22r28","rect:x=764,y=1801,w=62,h=92","","","","","","","","","","","",""
