"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"c54273c9-4247-4a90-8e9b-e29d0aa648d9","安徽大學漢字發展與應用研究中心編 黃德寬 徐在國主編 安徽大學藏戰國竹簡 02 3-21.jpg","1r6","rect:x=1802,y=1529,w=92,h=128","","","","","","","","","","","",""
"dc31ab73-3ffe-41ae-b513-04f0a80d0b2f","安徽大學漢字發展與應用研究中心編 黃德寬 徐在國主編 安徽大學藏戰國竹簡 02 3-21.jpg","1r14","rect:x=1630,y=770,w=87,h=108","","","","","","","","","","","",""
"6ec988ef-1077-43a5-9fb9-bb0e92ddf97e","安徽大學漢字發展與應用研究中心編 黃德寬 徐在國主編 安徽大學藏戰國竹簡 02 3-21.jpg","2r12","rect:x=730,y=353,w=87,h=65","","","","","","","","","","","",""
"5bb613dd-c8f2-4e35-a0d3-9ff2f526f004","安徽大學漢字發展與應用研究中心編 黃德寬 徐在國主編 安徽大學藏戰國竹簡 02 3-21.jpg","2r16","rect:x=730,y=971,w=116,h=92","","","","","","","","","","","",""
"a218ff31-822d-46fc-aeb9-5da56c886507","安徽大學漢字發展與應用研究中心編 黃德寬 徐在國主編 安徽大學藏戰國竹簡 02 3-21.jpg","2r28","rect:x=569,y=917,w=98,h=138","","","","","","","","","","","",""
"8de07baf-a227-4f5a-88b5-c3e9e794c30a","安徽大學漢字發展與應用研究中心編 黃德寬 徐在國主編 安徽大學藏戰國竹簡 02 3-21.jpg","1r2","rect:x=1790,y=715,w=104,h=144","","","","","","","","","","","",""
"e55c05b3-3f72-4e03-bd21-c728473e4b61","安徽大學漢字發展與應用研究中心編 黃德寬 徐在國主編 安徽大學藏戰國竹簡 02 3-21.jpg","1r17","rect:x=1624,y=1397,w=107,h=104","","","","","","","","","","","",""
"3aee9f76-4dec-482b-a6fa-46339d2c26bb","安徽大學漢字發展與應用研究中心編 黃德寬 徐在國主編 安徽大學藏戰國竹簡 02 3-21.jpg","1r19","rect:x=1619,y=1704,w=113,h=151","","","","","","","","","","","",""
"3e5e766b-868b-46ff-950e-20eab9f06126","安徽大學漢字發展與應用研究中心編 黃德寬 徐在國主編 安徽大學藏戰國竹簡 02 3-21.jpg","1r35","rect:x=1273,y=340,w=103,h=158","","","","","","","","","","","",""
"8dd1ad01-447f-450c-a4fa-81f379cc755e","安徽大學漢字發展與應用研究中心編 黃德寬 徐在國主編 安徽大學藏戰國竹簡 02 3-21.jpg","1r32","rect:x=1435,y=2001,w=111,h=118","","","","","","","","","","","",""
"1d8e1464-a9f2-4bd4-b08d-fbd020d46224","安徽大學漢字發展與應用研究中心編 黃德寬 徐在國主編 安徽大學藏戰國竹簡 02 3-21.jpg","1r33","rect:x=1438,y=2199,w=100,h=146","","","","","","","","","","","",""
"486e3c5f-5439-4232-bfb5-8482c4456d8b","安徽大學漢字發展與應用研究中心編 黃德寬 徐在國主編 安徽大學藏戰國竹簡 02 3-21.jpg","1r24","rect:x=1440,y=373,w=106,h=137","","","","","","","","","","","",""
"2e246d05-4c8f-41f8-8826-3c3d28927108","安徽大學漢字發展與應用研究中心編 黃德寬 徐在國主編 安徽大學藏戰國竹簡 02 3-21.jpg","1r27","rect:x=1435,y=945,w=105,h=154","","","","","","","","","","","",""
"a5114d9f-bb55-4c26-a86c-6e272cbdb693","安徽大學漢字發展與應用研究中心編 黃德寬 徐在國主編 安徽大學藏戰國竹簡 02 3-21.jpg","1r26","rect:x=1443,y=794,w=95,h=113","","","","","","","","","","","",""
"5e0c1e8b-9fb0-4335-9b7b-12cc486d00ad","安徽大學漢字發展與應用研究中心編 黃德寬 徐在國主編 安徽大學藏戰國竹簡 02 3-21.jpg","1r38","rect:x=1262,y=931,w=106,h=160","","","","","","","","","","","",""
