"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"8805ad6a-709e-4d23-8d89-e61178f8f5f9","AD23:24.jpg","23r24","rect:x=1596,y=2252,w=107,h=147","","","","","","","","","","","",""
"1e58345e-3aff-454e-8177-f48b5d62cffc","AD23:24.jpg","23r32","rect:x=1423,y=1317,w=109,h=115","","","","","","","","","","","",""
"3f14ada3-b900-4e23-bd5a-ccba95d092bd","AD23:24.jpg","23r31","rect:x=1426,y=1145,w=121,h=118","","","","","","","","","","","",""
"75d9e86a-90ad-4e9d-a758-13352fc762a1","AD23:24.jpg","23r28","rect:x=1421,y=621,w=110,h=136","","","","","","","","","","","",""
"467eef1e-b15f-4ed3-9596-e02360f16d10","AD23:24.jpg","24r28","rect:x=547,y=1235,w=119,h=89","","","","","","","","","","","",""
"8b6b20fa-5c29-45a6-ae27-34a1b6f6a3cb","AD23:24.jpg","23r3","rect:x=1778,y=837,w=121,h=121","","","","","","","","","","","",""
"e6a08282-1cad-43db-a62d-fb5ad2fd127a","AD23:24.jpg","23r4","rect:x=1783,y=1026,w=109,h=104","","","","","","","","","","","",""
"f79fae7b-d19b-450f-b7e4-d0a198c7bb72","AD23:24.jpg","23r1","rect:x=1786,y=465,w=108,h=146","","","","","","","","","","","",""
"ac6f5535-0382-4f6b-a72c-a9e768f4f950","AD23:24.jpg","23r7","rect:x=1784,y=1558,w=113,h=133","","","","","","","","","","","",""
"57f198f3-1a76-46d7-9882-33707637f35a","AD23:24.jpg","24r30","rect:x=556,y=1549,w=102,h=96","","","","","","","","","","","",""
"ca525d29-50f1-4c45-ae33-afd333333b6d","AD23:24.jpg","24r33","rect:x=553,y=2136,w=105,h=134","","","","","","","","","","","",""
"03b14b34-232c-432a-a9a3-69da2b45c17b","AD23:24.jpg","24r31","rect:x=550,y=1701,w=129,h=80","","","","","","","","","","","",""
"5f449434-c3f5-4af6-93a8-b1cc5ce1085a","AD23:24.jpg","24r29","rect:x=556,y=1392,w=108,h=88","","","","","","","","","","","",""
"d391a05b-662b-4ade-9618-470f440987f3","AD23:24.jpg","23r11","rect:x=1779,y=2352,w=100,h=128","","","","","","","","","","","",""
"4756763c-cc66-41b4-bca0-52883eba1af8","AD23:24.jpg","23r21","rect:x=1596,y=1662,w=113,h=120","","","","","","","","","","","",""
"9f991b30-2a76-4690-8f76-0056c0150480","AD23:24.jpg","24r11","rect:x=898,y=2610,w=120,h=148","","","","","","","","","","","",""
"67814820-6362-477f-b52b-e26c77a29829","AD23:24.jpg","24r10","rect:x=889,y=2374,w=125,h=130","PLACE","","","","","","","UNVERIFIED","","","",""
"4c5e18e7-251e-449f-b038-1c8c5da85f7f","AD23:24.jpg","24r16","rect:x=728,y=1185,w=120,h=136","","","","","","","","","","","",""
"53d633cf-a7c6-4f02-80bc-ce4f2445717d","AD23:24.jpg","24r18","rect:x=727,y=1578,w=115,h=191","","","","","","","","","","","",""
"2074de1f-2609-4b30-a819-af0da5e3de6e","AD23:24.jpg","24r20","rect:x=729,y=2062,w=116,h=121","","","","","","","","","","","",""
"be404bd5-bcf6-4e24-9944-ed9e3120967f","AD23:24.jpg","23r5","rect:x=1781,y=1208,w=125,h=107","","","","","","","","","","","",""
"170d36b6-79e2-4022-8e67-49292004db90","AD23:24.jpg","23r18","rect:x=1599,y=1028,w=110,h=147","","","","","","","","","","","",""
