ID,Language_ID,Headword,Part_Of_Speech,Segments,Sound_Classes,Character,Middle Chinese,Old_Chinese,Middle_Chinese_Readings,Old_Chinese_Readings,Glosses,Example_IDS
,OldChinese,,,,,,,,*tə,tsyi,conjunction / anaphoric subtitute of the object / anaphoric substitute of the object / cataphoric substitute of the object / this / nominalization marker,ad-2-10 ad-2-11 ad-4-24 ad-4-28 ad-4-29 ad-6-33 ad-6-36 ad-6-39 ad-6-39 ad-6-43 ad-6-45 ad-7-46 ad-9-71 ad-10-74 ad-10-77 ad-10-77 ad-11-91 ad-11-91 ad-12-99 ad-14-113 ad-14-116 ad-15-128 ad-16-134 ad-17-143 ad-20-171 ad-20-172 ad-20-172 ad-20-175 ad-21-182 ad-22-194 ad-22-195 ad-24-214 ad-25-216 ad-25-224 ad-26-230 ad-26-234 ad-26-236 ad-27-240 ad-27-244 ad-28-249 ad-28-250 ad-28-252 ad-29-264 ad-31-276 ad-31-277 ad-31-279 ad-31-281 ad-32-286 ad-32-286 ad-32-288 ad-33-293 ad-34-306 ad-35-317 ad-36-319 ad-36-323 ad-37-334 ad-38-335 ad-38-336 ad-38-337 ad-38-342 ad-38-342 ad-40-350 ad-41-362 ad-41-366 ad-41-367 ad-42-368 ad-42-371 ad-42-374 ad-43-379 ad-43-384 ad-44-389 ad-44-391 ad-44-392 ad-45-398 ad-45-399
,OldChinese,,,,,,,,*lAjʔ,(dzyoX) / yaeX,modal particle,ad-2-10 ad-2-11 ad-6-43 ad-8-65 ad-11-90 ad-19-164 ad-22-199 ad-23-200 ad-25-224 ad-26-235 ad-27-244
,OldChinese,,,,,,,,*[s]Ak,sjek,past,ad-2-11 ad-3-16 ad-6-38 ad-44-392
word-43,OldChinese,堯,,,,堯,,*[ŋ]ˤew,*[ŋ]ˤew,ngew,Yao (personal name),ad-2-11
word-44,OldChinese,饗,,,,饗,,*qʰaŋʔ,*qʰaŋʔ,xjangX,banquet,ad-2-11
word-45,OldChinese,舜,,,,舜,,*[s.t]u[n]-s,*[s.t]u[n]-s,sywinH,Shun (personal name),ad-2-11
word-46,OldChinese,飯,,,,飯,,*bo[n]ʔ,*bo[n]ʔ,bjonX,eat,ad-2-12
word-47,OldChinese,於,,,,於,,*[ʔ]ˤa,*[ʔ]ˤa,u,preposition,ad-2-12
word-48,OldChinese,土,,,,土,,*tʰˤaʔ,*tʰˤaʔ,thuX / (duX),terracotta,ad-2-12
word-49,OldChinese,塯,,,,塯,,*p(r)uʔ,*p(r)uʔ,pjuwX / (bijX),vessel,ad-2-12
word-50,OldChinese,欼,,,,欼,,*s.tʰrə,*s.tʰrə,tsrhiX,drink,ad-2-13
,OldChinese,,,,,,,,*[ʔ]ˤa,u,preposition,ad-2-13 ad-2-15 ad-2-15 ad-4-30 ad-6-34 ad-6-41 ad-6-43 ad-8-66 ad-12-92 ad-12-49 ad-12-96 ad-13-103 ad-14-113 ad-14-118 ad-14-120 ad-16-133 ad-16-135 ad-16-137 ad-18-157 ad-21-179 ad-21-180 ad-30-273 ad-31-278 ad-31-283 ad-33-299 ad-42-370 ad-43-381 ad-44-392
,OldChinese,,,,,,,,*tʰˤaʔ,thuX / (duX),terracotta,ad-2-13
word-51,OldChinese,鉶,,,,鉶,,*gˤeŋ,*gˤeŋ,heng,cup,ad-2-13
,OldChinese,,,,,,,,*nə,nyi,conjunction,ad-2-14 ad-2-15 ad-3-17 ad-3-18 ad-4-30 ad-6-34 ad-7-46 ad-7-48 ad-8-58 ad-8-65 ad-8-66 ad-9-72 ad-9-73 ad-10-82 ad-13-107 ad-13-109 ad-16-131 ad-16-133 ad-18-153 ad-29-263 ad-30-270 ad-30-271 ad-31-279 ad-38-342 ad-38-342 ad-39-344 ad-45-397 ad-45-399 ad-46-402
word-52,OldChinese,撫,,,,撫,,*[pʰ](r)aʔ,*[pʰ](r)aʔ,phjuX,appease,ad-2-14
,OldChinese,,,,,,,,*[ɢ]ʷəʔ,hjuwX,have,ad-2-14 ad-3-16 ad-3-21 ad-7-52 ad-7-54 ad-8-65 ad-9-72 ad-9-73 ad-11-89 ad-13-108 ad-13-109 ad-14-113 ad-15-124 ad-15-126 ad-15-128 ad-15-129 ad-17-147 ad-18-150 ad-22-192 ad-22-193 ad-22-196 ad-22-197 ad-22-198 ad-24-209 ad-26-227 ad-26-229 ad-26-237 ad-27-239 ad-27-246 ad-28-248 ad-28-256 ad-29-258 ad-29-263 ad-29-266 ad-30-268 ad-31-279 ad-33-292 ad-33-295 ad-33-297 ad-36-325 ad-37-327 ad-38-336 ad-38-339 ad-38-341 ad-40-354 ad-41-361 ad-41-362 ad-42-374 ad-43-379 ad-43-381 ad-45-397
word-53,OldChinese,天下,,,,天下,,*l̥ˤi[n] // *m-gˤraʔ-s,*l̥ˤi[n] / *m-gˤraʔ-s,then / haeH,world,ad-2-14
word-54,OldChinese,此,,,,此,,*[tsʰ]e(j)ʔ,*[tsʰ]e(j)ʔ,tshjeX,this,ad-2-15
,OldChinese,,,,,,,,*pə,(bijX) / pjuw,negative adverb,ad-2-15 ad-3-18 ad-4-30 ad-4-30 ad-6-31 ad-6-34 ad-6-34 ad-6-35 ad-7-50 ad-8-59 ad-8-60 ad-8-61 ad-8-62 ad-8-63 ad-10-80 ad-12-92 ad-12-93 ad-12-94 ad-12-95 ad-12-96 ad-12-97 ad-12-100 ad-16-134 ad-19-164 ad-19-164 ad-19-165 ad-19-165 ad-19-166 ad-19-166 ad-20-173 ad-20-174 ad-23-200 ad-23-200 ad-23-201 ad-23-201 ad-23-202 ad-23-202 ad-23-203 ad-23-203 ad-24-207 ad-24-208 ad-24-214 ad-25-216 ad-26-233 ad-28-219 ad-28-250 ad-28-251 ad-29-259 ad-29-260 ad-31-282 ad-31-283 ad-40-359 ad-44-387 ad-45-395 ad-45-396
word-55,OldChinese,貧,,,,貧,,*[b]rə[n],*[b]rə[n],bin,poor,ad-2-15
word-56,OldChinese,美,,,,美,,*[m]rəjʔ,*[m]rəjʔ,mijX,beauty,ad-2-15
word-57,OldChinese,富,,,,富,,*pək-s,*pək-s,pjuwH,rich,ad-2-15
word-58,OldChinese,德,,,,德,,*tˤək,*tˤək,tok,virtue,ad-2-15
word-59,OldChinese,歟,,,,歟,,*ɢ(r)a(ʔ)(-s),*ɢ(r)a(ʔ)(-s),/ / yoH / yo / yoX,modal particle,ad-2-15
,OldChinese,,,,,,,,*tiw,tsyuw,Zhou (clan name),ad-3-16
,OldChinese,,,,,,,,*s.ti[t],syit,house,ad-3-16
word-60,OldChinese,戒,,,,戒,,*kˤrək-s,*kˤrək-s,keajH,warn,ad-3-16
word-61,OldChinese,言,,,,言,,! *ŋa[n] // *ŋa[n] // *ŋa[n] // *ŋa[r],*ŋa[n] / ! *ŋa[n] / *ŋa[r],ngjon,word,ad-3-16
,OldChinese,,,,,,,,*[ɢ]ʷat,hjwot / mjut,say,ad-3-16 ad-4-23 ad-4-26 ad-4-28 ad-6-37 ad-6-38 ad-6-42 ad-6-45 ad-7-55 ad-8-66 ad-9-70 ad-13-102 ad-13-104 ad-14-114 ad-14-119 ad-14-121 ad-16-138 ad-18-158 ad-19-160 ad-19-169 ad-21-178 ad-21-185 ad-24-211 ad-24-213 ad-25-225 ad-26-228 ad-26-237 ad-27-238 ad-27-245 ad-27-247 ad-28-255 ad-29-257 ad-29-265 ad-30-267 ad-31-280 ad-33-294 ad-33-296 ad-34-300 ad-34-310 ad-35-313 ad-36-324 ad-37-326 ad-38-338 ad-38-340 ad-40-351 ad-40-353 ad-40-355 ad-40-356 ad-40-357 ad-41-363 ad-41-365 ad-42-373 ad-43-380 ad-43-386 ad-44-390
word-62,OldChinese,願,,,,願,,*[ŋ]o[n]-s,*[ŋ]o[n]-s,ngjwonH,desire,ad-3-17
word-63,OldChinese,正,,,,正,,*teŋ-s,*teŋ-s,tsyengH,contend,ad-3-17
word-64,OldChinese,功,,,,功,,*kˤoŋ,*kˤoŋ,kuwng,merit,ad-3-17
,OldChinese,,,,,,,,*[ŋ]o[n]-s,ngjwonH,desire,ad-3-18
word-65,OldChinese,域,,,,域,,*[ɢ]ʷrək,*[ɢ]ʷrək,hwik,territory,ad-3-18
word-66,OldChinese,興,,,,興,,*qʰ(r)əŋ,*qʰ(r)əŋ,xing,flourish,ad-3-18
,OldChinese,,,,,,,,*[ɢ]ʷrək,hwik,territory,ad-3-19
word-67,OldChinese,康,,,,康,,! *k-r̥ˤaŋ // *[kʰ]ˤaŋ,! *k-r̥ˤaŋ / *[kʰ]ˤaŋ,khang,tranquil,ad-3-19
word-68,OldChinese,以,,,,以,,*ləʔ,*ləʔ,yiX,preposition,ad-3-19
word-69,OldChinese,凶,,,,凶,,*qʰ(r)oŋ,*qʰ(r)oŋ,xjowng,misfortune,ad-3-19
word-70,OldChinese,保,,,,保,,*pˤuʔ,*pˤuʔ,pawX,guard,ad-3-20
word-71,OldChinese,疆,,,,疆,,*kaŋ,*kaŋ,kjang,strong,ad-3-20
word-72,OldChinese,必,,,,必,,*pi[t],*pi[t],pjit,must,ad-3-20
word-73,OldChinese,勝,,,,勝,,*l̥əŋ,*l̥əŋ,sying,win ,ad-3-20
word-74,OldChinese,可以,,,,可以,,*[k]ʰˤa[j]ʔ // *ləʔ,*ləʔ / *[k]ʰˤa[j]ʔ,khaX / yiX,can,ad-3-21
word-75,OldChinese,治,,,,治,,*C.lrə,*C.lrə,dri,govern,ad-3-21
word-76,OldChinese,邦,,,,邦,,*pˤroŋ,*pˤroŋ,paewng,state,ad-3-21
word-77,OldChinese,周志,,,,周志,,*tiw // *tək-s,*tək-s / *tiw,tsyuw / tsyiH,Zhou zhi (Documents),ad-3-22
word-78,OldChinese,是,,,,是,,*[d]eʔ,*[d]eʔ,dzyeX,this,ad-3-22
word-79,OldChinese,存,,,,存,,*[dz]ˤə[n],*[dz]ˤə[n],dzwon,be present,ad-3-22
,OldChinese,,,,,,,,*C.qˤoŋ / *[ts]raŋ,kuwng / tsrjang,duke Zhuang (personal name),ad-4-23 ad-6-37 ad-7-55 ad-13-102 ad-14-119 ad-16-136 ad-18-158 ad-19-167 ad-20-176 ad-24-211 ad-25-225 ad-26-236 ad-28-255 ad-29-265 ad-33-294 ad-36-324 ad-38-338 ad-40-351 ad-41-363 ad-42-373 ad-43-386
,OldChinese,,,,,,,,*[k]r[ə]m,kim,today,ad-4-24 ad-6-41 ad-45-395
,OldChinese,,,,,,,,*l̥ˤi[n] / *m-gˤraʔ-s,then / haeH,world,ad-4-24 ad-42-372 ad-44-392
word-80,OldChinese,君子,,,,君子,,*C.qur ! // *[ts]əʔ // *tsəʔ,*[ts]əʔ / *tsəʔ / *C.qur !,kjun / tsiX,the noble man,ad-4-24
,OldChinese,,,,,,,,*[k]ə[t]-s,kj+jH,already / finish / aspect marker,ad-4-24 ad-25-226 ad-28-256 ad-29-263 ad-29-264 ad-33-298 ad-34-311 ad-35-316
word-81,OldChinese,可,,,,可,,*[k]ʰˤa[j]ʔ,*[k]ʰˤa[j]ʔ,khaX,can,ad-4-24
word-82,OldChinese,知,,,,知,,*tre,*tre,trje,know,ad-4-24
word-83,OldChinese,已,,,,已,,*ɢ(r)əʔ,*ɢ(r)əʔ,yiX / (yiH),modal particle,ad-4-24
word-84,OldChinese,孰,,,,孰,,*[d]uk,*[d]uk,dzyuwk,who,ad-4-25
word-85,OldChinese,能,,,,能,,*nˤə,*nˤə,noj,can,ad-4-25
word-86,OldChinese,併,,,,併,,*bˤreŋʔ / *bˤreŋ-s / *bˤeŋʔ / *peŋʔ / *peŋ-s ,*bˤreŋʔ / *bˤreŋ-s / *bˤeŋʔ / *peŋʔ / *peŋ-s ,/ / beangH / beangX / pijengX / pijengH / bengX,unite,ad-4-25
word-87,OldChinese,兼,,,,兼,,*[k]ˤem,*[k]ˤem,kem,together,ad-4-25
word-88,OldChinese,人,,,,人,,*ni[ŋ],*ni[ŋ],nyin,person,ad-4-25
word-89,OldChinese,哉,,,,哉,,*[ts]ˤə,*[ts]ˤə,tsoj / //,modal particle,ad-4-25
,OldChinese,,,,,,,,*N-tsˤu / *mˤat,dzaw / mat,Cao Mo (personal name),ad-4-26 ad-6-42 ad-8-66 ad-9-70 ad-13-104 ad-14-121 ad-44-390
,OldChinese,,,,,,,,*C.qur,kjun,her majesty / sovereign,ad-4-27 ad-4-29 ad-6-33 ad-6-44 ad-12-100 ad-20-170 ad-20-172 ad-22-198 ad-25-223 ad-30-272 ad-31-279 ad-43-384 ad-45-400
,OldChinese,,,,,,,,*gə,gi,possessive pronoun / nominalization marker / modal particle / conjunction,ad-4-27 ad-11-85 ad-12-101 ad-16-134 ad-26-232 ad-28-249 ad-28-250 ad-28-251 ad-29-259 ad-29-260 ad-30-271 ad-34-311 ad-36-321 ad-36-322 ad-37-333 ad-39-344 ad-39-344 ad-39-345 ad-39-346 ad-41-361 ad-41-366 ad-41-367 ad-42-368 ad-44-393 ad-44-394 ad-45-400
word-90,OldChinese,毋,,,,毋,,*mo,*mo,mju,negative adverb,ad-4-27
word-91,OldChinese,云,,,,云,,*[ɢ]ʷə[n],*[ɢ]ʷə[n],hjun,say,ad-4-27
word-92,OldChinese,臣,,,,臣,,*[g]i[ŋ],*[g]i[ŋ],dzyin,minister,ad-4-28
word-93,OldChinese,聞,,,,聞,,*mu[n],*mu[n],mjun,hear,ad-4-28
word-94,OldChinese,鄰,,,,鄰,,*(mə.)rə[n],*(mə.)rə[n],lin,neighbor,ad-4-29
,OldChinese,,,,,,,,*pˤroŋ,paewng,state,ad-4-29 ad-6-33 ad-8-58 ad-10-78 ad-10-78 ad-10-79 ad-12-92 ad-13-103 ad-14-118 ad-16-133 ad-22-198 ad-26-234 ad-32-286 ad-32-286 ad-40-360
word-95,OldChinese,明,,,,明,,*mraŋ,*mraŋ,mjaeng,enlighten,ad-4-29
word-96,OldChinese,則,,,,則,,*[ts]ˤək,*[ts]ˤək,tsok,conjunction,ad-4-30
,OldChinese,,,,,,,,*ləʔ / *[k]ʰˤa[j]ʔ,khaX / yiX,can,ad-4-30 ad-6-34 ad-10-80 ad-12-93 ad-12-95 ad-12-97 ad-27-242
word-97,OldChinese,修,,,,修,,*s-liw,*s-liw,sjuw,improve,ad-4-30
word-98,OldChinese,政,,,,政,,*teŋ-s,*teŋ-s,tsyengH,government,ad-4-30
word-99,OldChinese,善,,,,善,,*[d]a[n]ʔ,*[d]a[n]ʔ,dzyenX,good,ad-4-30
,OldChinese,,,,,,,,*mi[ŋ],mjin,people,ad-4-30 ad-6-34 ad-13-105 ad-13-106 ad-14-116 ad-15-129 ad-18-157 ad-20-175 ad-21-182 ad-22-194 ad-30-273 ad-35-318 ad-38-336 ad-40-354 ad-43-383
word-100,OldChinese,然,,,,然,,*[n]a[n],*[n]a[n],nyen,like that,ad-6-31
word-101,OldChinese,恐,,,,恐,,*kʰ(r)oŋʔ,*kʰ(r)oŋʔ,khjowngX,fear,ad-6-32
word-102,OldChinese,亡,,,,亡,,*maŋ,*maŋ,mjang,perish,ad-6-32
word-103,OldChinese,焉,,,,焉,,*[ʔ]a[n] // *ʔa[n],*ʔa[n] / *[ʔ]a[n],('jon) / jen / hjen / //,in it,ad-6-32
,OldChinese,,,,,,,,*(mə.)rə[n],lin,neighbor,ad-6-33
,OldChinese,,,,,,,,*maŋ,mjang,not have / flee / death / negative adverb,ad-6-33 ad-6-36 ad-8-65 ad-9-72 ad-9-73 ad-10-76 ad-33-290
word-104,OldChinese,道,,,,道,,*[kə.l]ˤuʔ,*[kə.l]ˤuʔ,dawX,way,ad-6-33
,OldChinese,,,,,,,,*[ts]ˤək,tsok,conjunction / negative adverb,ad-6-34 ad-12-101 ad-16-134 ad-19-164 ad-19-165 ad-19-166 ad-20-175 ad-21-182 ad-22-194 ad-23-201 ad-23-202 ad-23-203 ad-23-205 ad-23-206 ad-24-208 ad-33-290 ad-33-291
word-105,OldChinese,亦,,,,亦,,! *ɢ(r)Ak // *[ɢ](r)Ak,*[ɢ](r)Ak / ! *ɢ(r)Ak,yek / //,aso,ad-6-34
,OldChinese,,,,,,,,*s-liw,sjuw,improve,ad-6-34 ad-11-87
,OldChinese,,,,,,,,*teŋ-s,tsyengH,government,ad-6-34 ad-8-58
,OldChinese,,,,,,,,*[d]a[n]ʔ,dzyenX,good,ad-6-34 ad-31-278 ad-41-364
,OldChinese,,,,,,,,*[n]a[n],nyen,like this / like that,ad-6-35 ad-7-50 ad-45-397 ad-46-402
,OldChinese,,,,,,,,*ləʔ,yiX,preposition / conjunction / use,ad-6-36 ad-6-43 ad-7-46 ad-7-48 ad-7-51 ad-7-53 ad-10-75 ad-10-76 ad-11-83 ad-11-85 ad-11-86 ad-11-90 ad-11-90 ad-14-117 ad-16-135 ad-17-149 ad-18-152 ad-18-154 ad-18-155 ad-18-156 ad-18-157 ad-20-171 ad-22-199 ad-24-210 ad-24-212 ad-30-273 ad-34-304 ad-37-328 ad-37-330 ad-37-333 ad-40-360 ad-41-361 ad-41-362 ad-43-383 ad-44-393 ad-44-394 ad-45-396 ad-45-398 ad-45-399
word-106,OldChinese,取,,,,取,,*tsʰˤoʔ,*tsʰˤoʔ,tshuwX,take,ad-6-36
word-107,OldChinese,施伯,,,,施伯,,*l̥aj // *pʰˤak,*pʰˤak / *l̥aj,da / phak,Shi Bo (personal name),ad-6-38
word-108,OldChinese,語,,,,語,,ŋ(r)aʔ-s,ŋ(r)aʔ-s,ngjoH,tell,ad-6-38
word-109,OldChinese,寡人,,,,寡人,,*[C.k]ʷˤraʔ // *ni[ŋ],*ni[ŋ] / *[C.k]ʷˤraʔ, / kwaeX / nyin,I miserable,ad-6-38
,OldChinese,,,,,,,,*tsəʔ / ! *[ts]əʔ / *C.qur / *[ts]əʔ / *C.qur !,kjun / tsiX,the noble man,ad-6-39 ad-7-46 ad-7-51 ad-14-115
word-110,OldChinese,得,,,,得,,*tˤək,*tˤək,tok / tsiX,obtain,ad-6-39
word-111,OldChinese,失,,,,失,,*l̥i[t],*l̥i[t],syit,loose,ad-6-39
word-112,OldChinese,天,,,,天,,*l̥ˤi[n],*l̥ˤi[n],then,heave,ad-6-40
word-113,OldChinese,命,,,,命,,*m-riŋ-s,*m-riŋ-s,mjaengH,mandate,ad-6-40
word-114,OldChinese,異,,,,異,,*ɢ(r)ək-s,*ɢ(r)ək-s,yiH,different,ad-6-41
word-115,OldChinese,爾,,,,爾,,*n[ə][r]ʔ,*n[ə][r]ʔ,nyeX,you,ad-6-41
,OldChinese,,,,,,,,*ŋa[n] / ! *ŋa[n] / *ŋa[r],ngjon,word,ad-6-41 ad-6-43 ad-8-57 ad-42-375 ad-43-377 ad-44-387
,OldChinese,,,,,,,,*ma / *mo,mju / (mu),not have / negative adverb,ad-6-43 ad-7-48 ad-7-53 ad-15-125 ad-15-127 ad-16-130 ad-16-131 ad-20-174 ad-34-306 ad-41-362
,OldChinese,,,,,,,,*ɢ(r)ək-s,yiH,different,ad-6-43
,OldChinese,,,,,,,,*[g]i[ŋ],dzyin,minister,ad-6-43 ad-6-45 ad-9-71 ad-10-77 ad-11-91 ad-13-110 ad-22-106 ad-26-230 ad-27-240 ad-44-391 ad-45-396
word-116,OldChinese,弗,,,,弗,,! *put // *p[u]t // *put,*p[u]t / ! *put / *put,pjut,negative adverb,ad-6-44
word-117,OldChinese,盡,,,,盡,,*tsi[n]ʔ,*tsi[n]ʔ,tsinX,fully understand,ad-6-44
,OldChinese,,,,,,,,*mu[n],mjun,hear,ad-6-45 ad-8-57 ad-9-71 ad-10-77 ad-11-91 ad-18-153 ad-22-195 ad-26-230 ad-27-240 ad-42-374 ad-44-389 ad-44-391 ad-45-400
word-118,OldChinese,賢,,,,賢,,*[g]ˤi[n],*[g]ˤi[n],hen,sage,ad-7-46
word-119,OldChinese,稱,,,,稱,,*tʰəŋ,*tʰəŋ,tsyhing,denomination,ad-7-46
,OldChinese,,,,,,,,*l̥i[t],syit,loose,ad-7-46 ad-7-54 ad-34-305 ad-45-399
,OldChinese,,,,,,,,*l̥ˤi[n],then,heaven,ad-7-47 ad-7-49 ad-31-283
