ID,Language_ID,Headword,Part_Of_Speech,Segments,Sound_Classes,Character,Middle Chinese,Old_Chinese,Middle_Chinese_Readings,Old_Chinese_Readings,Glosses,Example_IDS
,OldChinese,,,,,,,,*[tsʰ]e(j)ʔ,tshjeX,this / tihis,ad-8-57 ad-14-117 ad-18-159 ad-22-199 ad-25-224 ad-26-235 ad-27-244 ad-28-252 ad-29-264 ad-36-323 ad-38-337 ad-40-350 ad-43-385
word-127,OldChinese,乃,,,,乃,,! *nˤə(ŋ)ʔ // *nˤəʔ,*nˤəʔ / ! *nˤə(ŋ)ʔ,nojX,conjunction,ad-8-58
word-128,OldChinese,毀,,,,毀,,*[m̥](r)ajʔ,*[m̥](r)ajʔ,xjweX,destroy,ad-8-58
,OldChinese,,,,,,,,*gˤeŋ,heng,shape,ad-8-58
word-129,OldChinese,聽,,,,聽,,*l̥ˤeŋ,*l̥ˤeŋ,theng,listen,ad-8-58
word-130,OldChinese,晝,,,,晝,,*truk-s,*truk-s,trjuwH,day,ad-8-59
word-131,OldChinese,寢,,,,寢,,*[tsʰ]imʔ,*[tsʰ]imʔ,tshimX,sleep,ad-8-59
word-132,OldChinese,飲,,,,飲,,*q(r)[u]mʔ,*q(r)[u]mʔ,imX,drink wine,ad-8-60
word-133,OldChinese,酒,,,,酒,,*tsuʔ,*tsuʔ,tsjuwX,,ad--
,OldChinese,,,,,,,,*l̥ˤeŋ,theng,listen,ad-8-61 ad-20-172 ad-21-181
word-134,OldChinese,樂,,,,樂,,*[ŋ]ˤrawk,*[ŋ]ˤrawk,ngaewk,music,ad-8-61
word-135,OldChinese,居,,,,居,,*k(r)a // *ka // *k(r)a-s,*ka / *k(r)a / *k(r)a-s,// / kjo / (ki) / kjoH,stay,ad-8-62
word-136,OldChinese,褻,,,,褻,,*s-ŋet,*s-ŋet,sjet,dress,ad-8-62
word-137,OldChinese,文,,,,文,,*mə[n],*mə[n],mjun,adorn,ad-8-62
word-138,OldChinese,食,,,,食,,*mə-lək,*mə-lək,zyik,eat,ad-8-63
word-139,OldChinese,貳,,,,貳,,*ni[j]-s,*ni[j]-s,nyijH,duplicate,ad-8-63
word-140,OldChinese,羹,,,,羹,,*kˤraŋ,*kˤraŋ,kaeng,soup,ad-8-63
word-141,OldChinese,兼愛,,,,兼愛,,*[k]ˤem // *[q]ˤə[p]-s,*[q]ˤə[p]-s / *[k]ˤem,ojH / kem,universal love,ad-8-64
word-142,OldChinese,萬民,,,,萬民,,*C.ma[n]-s // *mi[ŋ],*C.ma[n]-s / *mi[ŋ],mjin / mjonH,thousand people,ad-8-64
word-143,OldChinese,私,,,,私,,*[s]əj,*[s]əj,sij,private interest,ad-8-65
word-144,OldChinese,還,,,,還,,*[ɢ]ʷˤen,*[ɢ]ʷˤen,hwaen,following,ad-8-66
word-145,OldChinese,年,,,,年,,*C.nˤi[ŋ],*C.nˤi[ŋ],nen,year,ad-8-66
word-146,OldChinese,問,,,,問,,*C.mu[n]-s,*C.mu[n]-s,mjunH,ask,ad-8-66
,OldChinese,,,,,,,,*ŋˤa,ngu,I,ad-9-67 ad-31-283 ad-42-374 ad-44-387 ad-44-389
word-147,OldChinese,欲,,,,欲,,*ɢ(r)ok,*ɢ(r)ok,yowk,desire,ad-9-67
word-148,OldChinese,與,,,,與,,*m-q(r)aʔ,*m-q(r)aʔ,yoX,preposition,ad-9-67
word-149,OldChinese,齊,,,,齊,,*[dz]ˤəj,*[dz]ˤəj,dzej / (tsjwe),Qi (place name),ad-9-67
word-150,OldChinese,戰,,,,戰,,*tar-s,*tar-s,tsyenH,war,ad-9-67
,OldChinese,,,,,,,,*C.mu[n]-s,mjunH,ask,ad-9-68 ad-16-136 ad-19-167 ad-20-176 ad-21-183 ad-26-236 ad-27-245 ad-28-255 ad-29-262 ad-29-265 ad-31-277 ad-33-294 ad-36-324 ad-38-338 ad-40-351 ad-41-363 ad-42-373
word-151,OldChinese,陳,,,,陳,,*lri[n],*lri[n],drin,battle array,ad-9-68
word-152,OldChinese,奚,,,,奚,,*[g]ˤe,*[g]ˤe,hej,how,ad-9-68
word-153,OldChinese,如,,,,如,,*na,*na,nyo,how,ad-9-68
word-154,OldChinese,守,,,,守,,*s.tuʔ-s,*s.tuʔ-s,syuwH,preserve,ad-9-69
word-155,OldChinese,邊,,,,邊,,*pˤe[n],*pˤe[n],pen,frontier ,ad-9-69
word-156,OldChinese,城,,,,城,,*[d]eŋ,*[d]eŋ,dzyeng,town,ad-9-69
,OldChinese,,,,,,,,*[g]ˤe,hej,how,ad-9-69 ad-40-352 ad-41-364
,OldChinese,,,,,,,,*na,nyo,how / compare / if,ad-9-69 ad-30-272 ad-40-352 ad-41-364 ad-44-387
word-157,OldChinese,答,,,,答,,*[t]ˤ[u]p,*[t]ˤ[u]p,top,reply,ad-9-70
word-158,OldChinese,固,,,,固,,*[k]ˤa-s,*[k]ˤa-s,kuH,solid,ad-9-72
word-159,OldChinese,謀,,,,謀,,*mə,*mə,mjuw,plan,ad-9-72
,OldChinese,,,,,,,,*[k]ˤa-s,kuH,fortress / solid,ad-9-72 ad-40-356 ad-42-368
,OldChinese,,,,,,,,*[d]eŋ,dzyeng,town / wall,ad-9-72 ad-11-87 ad-40-355 ad-42-368
word-160,OldChinese,克,,,,克,,*kʰˤək,*kʰˤək,khok,capable,ad-9-73
,OldChinese,,,,,,,,*teŋ-s,tsyengH,government,ad-9-73
,OldChinese,,,,,,,,*kʰˤək,khok,conquest / defeat  / capable,ad-9-73 ad-10-75 ad-24-210 ad-24-212 ad-37-329
,OldChinese,,,,,,,,*lri[n],drin,battle array / explain,ad-9-73 ad-10-74 ad-12-95 ad-12-96 ad-12-98 ad-13-107 ad-16-137 ad-21-186 ad-27-241 ad-28-254 ad-36-322
word-161,OldChinese,三,,,,三,,*s.rum,*s.rum,sam,three ,ad-10-74
word-162,OldChinese,代,,,,代,,*lˤək-s,*lˤək-s,dojH,dynasty,ad-10-74
,OldChinese,,,,,,,,*tsi[n]ʔ,tsinX,all,ad-10-74 ad-40-358
,OldChinese,,,,,,,,*[dz]ˤə[n],dzwon,be present,ad-10-74 ad-26-233
word-163,OldChinese,或,,,,或,,*[ɢ]ʷˤək,*[ɢ]ʷˤək,hwok,some,ad-10-75
,OldChinese,,,,,,,,*[ɢ]ʷˤək,hwok,some / modal particle,ad-10-76 ad-43-382
word-164,OldChinese,且,,,,且,,*tsa,*tsa,tsjo,conjunction,ad-10-77
,OldChinese,,,,,,,,*[s]ewʔ,sjewX,small / little,ad-10-78 ad-44-388
,OldChinese,,,,,,,,*ka / *k(r)a / *k(r)a-s,// / kjo / (ki) / kjoH,stay,ad-10-78
word-165,OldChinese,之間,,,,之間,,*tə // ! *N-kˤre[n] // *kˤre[n] // *kˤre[n],*kˤre[n] / ! *N-kˤre[n] / *tə,kean / // / tsyi / hean,between,ad-10-78
word-166,OldChinese,敵,,,,敵,,*[d]ˤek,*[d]ˤek,dek,enemy,ad-10-79
word-167,OldChinese,交,,,,交,,*[k]ˤraw,*[k]ˤraw,kaew,exchange,ad-10-79
word-168,OldChinese,地,,,,地,,*[l]ˤej-s,*[l]ˤej-s,dijH,land,ad-10-79
word-169,OldChinese,先,,,,先,,*sˤər,*sˤər,sen,before,ad-10-80
word-170,OldChinese,作,,,,作,,*[ts]ˤak-s,*[ts]ˤak-s,tsuH,do,ad-10-80
word-171,OldChinese,怨,,,,怨,,*[ʔ]o[r]-s,*[ʔ]o[r]-s,jwonH,complain,ad-10-80
,OldChinese,,,,,,,,*kaŋ,kjang,border,ad-10-81
,OldChinese,,,,,,,,*[l]ˤej-s,dijH,land,ad-10-81 ad-30-274
,OldChinese,,,,,,,,*mo,mju,negative adverb / not have,ad-10-81 ad-11-84 ad-13-105 ad-13-106 ad-14-112 ad-18-153 ad-18-154 ad-20-170 ad-21-179 ad-21-180 ad-30-270 ad-30-271 ad-31-275 ad-32-288 ad-35-317 ad-35-318 ad-37-330
,OldChinese,,,,,,,,*sˤər,sen,previous / before,ad-10-81 ad-32-288 ad-43-385
,OldChinese,,,,,,,,*pi[t],pjit,must,ad-10-82 ad-11-87 ad-11-89 ad-12-100 ad-15-124 ad-15-126 ad-15-128 ad-17-147 ad-20-172 ad-24-215 ad-25-217 ad-31-279 ad-32-286 ad-36-322 ad-37-328 ad-37-331 ad-41-366 ad-45-398
,OldChinese,,,,,,,,*tsʰˤoʔ,tshuwX,take,ad-10-82 ad-39-345
,OldChinese,,,,,,,,*ʔa[n] / *[ʔ]a[n],('jon) / jen / hjen / //,in it,ad-10-82 ad-45-397
word-172,OldChinese,所,,,,所,,! *s-qʰaʔ // *qʰaʔ,*qʰaʔ / ! *s-qʰaʔ,srjoX / xuX / //,nominalization marker,ad-11-83
word-173,OldChinese,拒,,,,拒,,*g(r)aʔ,*g(r)aʔ,gjoX,resist,ad-11-83
,OldChinese,,,,,,,,*pˤe[n],pen,frontier ,ad-11-83
word-174,OldChinese,愛,,,,愛,,*[q]ˤə[p]-s,*[q]ˤə[p]-s,ojH,love,ad-11-84
word-175,OldChinese,貨,,,,貨,,*qʷʰˤaj-s,*qʷʰˤaj-s,xwaH,commodities,ad-11-84
word-176,OldChinese,資,,,,資,,*[ts]ij,*[ts]ij,tsij,goods,ad-11-84
word-177,OldChinese,子,,,,子,,! *[ts]əʔ // *tsəʔ,! *[ts]əʔ / *tsəʔ,tsiX,son,ad-11-84
word-178,OldChinese,女,,,,女,,*nraʔ,*nraʔ,nrjoX,woman,ad-11-84
word-179,OldChinese,事,,,,事,,*[m-s-]rəʔ-s,*[m-s-]rəʔ-s,dzriH / (tsriH),serve,ad-11-85
word-180,OldChinese,便嬖,,,,便嬖,,*[b]e[n] // *pˤek-s,*[b]e[n] / *pˤek-s,pejH / bjien,advisors and favourites,ad-11-85
,OldChinese,,,,,,,,*qʰaʔ / ! *s-qʰaʔ,srjoX / xuX / //,nominalization marker / place,ad-11-86 ad-11-90 ad-14-117 ad-16-135 ad-18-152 ad-18-154 ad-18-157 ad-20-174 ad-22-199 ad-36-322 ad-41-361 ad-41-362 ad-42-374 ad-43-383 ad-44-389
,OldChinese,,,,,,,,*g(r)aʔ,gjoX,resist,ad-11-86
word-181,OldChinese,內,,,,內,,! *nˤ[u]p // *nˤ[u]p-s,*nˤ[u]p-s / ! *nˤ[u]p,nwojH / // / nop,inside,ad-11-86
word-182,OldChinese,郭,,,,郭,,*kʷˤak,*kʷˤak,kwak,outskirts,ad-11-87
word-183,OldChinese,繕,,,,繕,,*[d]a[n]ʔ-s,*[d]a[n]ʔ-s,dzyenH,fortify,ad-11-88
word-184,OldChinese,甲,,,,甲,,*[k]ˤr[a]p,*[k]ˤr[a]p,kaep,weapon,ad-11-88
word-185,OldChinese,利,,,,利,,*C.ri[t]-s,*C.ri[t]-s,lijH,benefit,ad-11-88
word-186,OldChinese,兵,,,,兵,,*praŋ,*praŋ,pjaeng,armour,ad-11-88
,OldChinese,,,,,,,,*tar-s,tsyenH,war,ad-11-89 ad-11-90 ad-12-97 ad-18-159 ad-22-199 ad-24-209 ad-25-224 ad-27-246 ad-28-252 ad-28-254 ad-28-256 ad-29-263 ad-29-264 ad-29-266 ad-31-283 ad-32-285 ad-33-295 ad-33-298 ad-34-302 ad-34-307 ad-35-316 ad-36-323 ad-36-325 ad-38-337 ad-38-339 ad-40-350
word-187,OldChinese,心,,,,心,,*səm,*səm,sim,heart,ad-11-89
,OldChinese,,,,,,,,*ɢʷ(r)aj-s / ! *ɢʷ(r)aj,hjwe / // / hjweH,be / do / be ,ad-11-90 ad-13-103 ad-14-118 ad-14-120 ad-16-135 ad-16-137 ad-17-142 ad-18-152 ad-18-154 ad-19-168 ad-21-177 ad-21-184 ad-31-278 ad-34-308 ad-35-317
word-188,OldChinese,長,,,,長,,*Cə-[N]-traŋ,*Cə-[N]-traŋ,drjang,head,ad-11-90
,OldChinese,,,,,,,,*tsa,tsjo,conjunction,ad-11-91 ad-22-195 ad-29-259 ad-29-260 ad-42-369
word-189,OldChinese,和,,,,和,,*[ɢ]ˤoj,*[ɢ]ˤoj,hwa,harmony,ad-12-92
word-190,OldChinese,出,,,,出,,*t-kʰut-s,*t-kʰut-s,tsyhwijH,exit,ad-12-93
word-191,OldChinese,舍,,,,舍,,! *[l̥]Ak-s // *l̥Aʔ,! *[l̥]Ak-s / *l̥Aʔ,syaeX / // / syaeH,barracks,ad-12-93
,OldChinese,,,,,,,,*[ɢ]ˤoj,hwa,harmony,ad-12-94 ad-12-96 ad-13-103 ad-14-118 ad-14-120 ad-16-135 ad-16-137 ad-19-165 ad-21-177 ad-21-182 ad-23-202 ad-42-369
,OldChinese,,,,,,,,! *[l̥]Ak-s / *l̥Aʔ,syaeX / // / syaeH,barracks / camp,ad-12-94 ad-14-120 ad-16-135 ad-33-298
,OldChinese,,,,,,,,*t-kʰut-s,tsyhwijH,exit,ad-12-95 ad-12-97 ad-15-122 ad-26-227 ad-26-231 ad-26-235 ad-42-375 ad-43-377
word-192,OldChinese,是故,,,,是故,,*[d]eʔ // ! *kˤa(ʔ)-s // *kˤaʔ-s,*kˤaʔ-s / *[d]eʔ / ! *kˤa(ʔ)-s,dzyeX / kuH,conjunction,ad-12-98
word-193,OldChinese,夫,,,,夫,,! *ba // *[b]a // *p(r)a,*[b]a / ! *ba / *p(r)a,// / bju / pju,modal particle,ad-12-98
word-194,OldChinese,者,,,,者,,*tAʔ,*tAʔ,tsyaeX,nominalization marker,ad-12-98
,OldChinese,,,,,,,,*s.rum,sam,three  / three,ad-12-99 ad-15-122 ad-17-143 ad-18-159 ad-22-189 ad-22-197 ad-22-199 ad-26-231 ad-26-237 ad-27-241 ad-30-269 ad-31-281 ad-40-358 ad-43-376 ad-43-378 ad-44-389
word-195,OldChinese,教,,,,教,,*s.kˤraw-s,*s.kˤraw-s,kaewH,teaching,ad-12-99
word-196,OldChinese,末,,,,末,,*mˤat,*mˤat,mat,peak,ad-12-99
,OldChinese,,,,,,,,*ɢ(r)əʔ,yiX / (yiH),give up,ad-12-100
word-197,OldChinese,由,,,,由,,*l[u],*l[u],yuw,follow,ad-12-101
word-198,OldChinese,本,,,,本,,*C.pˤə[n]ʔ,*C.pˤə[n]ʔ,(thaw) / pwonX,root,ad-12-101
word-199,OldChinese,乎,,,,乎,,*ɢˤa,*ɢˤa,hu / //,modal particle,ad-12-101
word-200,OldChinese,如何,,,,如何,,*na // *[g]ˤaj,*na / *[g]ˤaj,ha / nyo,how,ad-13-103
,OldChinese,,,,,,,,*[t]ˤ[u]p,top,reply,ad-13-104 ad-16-138 ad-19-160 ad-19-169 ad-21-178 ad-21-185 ad-24-212 ad-26-228 ad-27-238 ad-27-247 ad-29-257 ad-30-267 ad-33-296 ad-37-326 ad-38-340 ad-40-353 ad-41-365 ad-43-380 ad-44-390 ad-45-396 ad-46-401
word-201,OldChinese,穫,,,,穫,,*m-qʷˤak,*m-qʷˤak,hwak,cut,ad-13-105
word-202,OldChinese,時,,,,時,,*[d]ə,*[d]ə,dzyi,time,ad-13-105
word-203,OldChinese,奪,,,,奪,,*Cə.lˤot,*Cə.lˤot,dwat,take by force,ad-13-106
,OldChinese,,,,,,,,*C.ri[t]-s,lijH,benefit,ad-13-106 ad-34-301 ad-41-367
,OldChinese,,,,,,,,*kˤoŋ,kuwng,merit,ad-13-107 ad-21-186 ad-37-331
,OldChinese,,,,,,,,*mə-lək,zyik,eat / reward with food,ad-13-107 ad-17-141 ad-31-275 ad-34-311 ad-35-314 ad-41-366 ad-41-366
word-204,OldChinese,刑,,,,刑,,*[ɢ]ˤeŋ,*[ɢ]ˤeŋ,heng,punish,ad-13-108
word-205,OldChinese,罰,,,,罰,,*[b][a]t,*[b][a]t,bjot,execute,ad-13-108
word-206,OldChinese,罪,,,,罪,,*[dz]ˤujʔ,*[dz]ˤujʔ,dzwojX,crime,ad-13-108
word-207,OldChinese,賞,,,,賞,,*s-taŋʔ,*s-taŋʔ,syangX,reward ,ad-13-109
word-208,OldChinese,爵,,,,爵,,*[ts]ewk,*[ts]ewk,tsjak,honour,ad-13-109
,OldChinese,,,,,,,,*tˤək,tok,virtue,ad-13-109
word-209,OldChinese,凡,,,,凡,,*bəŋ,*bəŋ,bjuwng,all,ad-13-110
word-210,OldChinese,畜,,,,畜,,*qʰuk-s,*qʰuk-s,trhjuwH,cattle,ad-13-110
word-211,OldChinese,群,,,,群,,*[g]ur,*[g]ur,gjun,group,ad-13-110
word-212,OldChinese,貴,,,,貴,,*kuj-s,*kuj-s,kjw+jH,noble,ad-14-111
word-213,OldChinese,賤,,,,賤,,*[dz][a][n]-s,*[dz][a][n]-s,dzjenH,vulgar,ad-14-111
word-214,OldChinese,同,,,,同,,*lˤoŋ,*lˤoŋ,duwng,same,ad-14-111
word-215,OldChinese,等,,,,等,,*tˤəŋʔ,*tˤəŋʔ,(tojX) / tongX,rang,ad-14-111
word-216,OldChinese,施,,,,施,,*l̥aj,*l̥aj,sye,give,ad-14-112
word-217,OldChinese,祿,,,,祿,,*[r]ˤok,*[r]ˤok,luwk,emolument,ad-14-112
word-218,OldChinese,倍,,,,倍,,*[b]ˤəʔ,*[b]ˤəʔ,bwojX,double,ad-14-112
word-219,OldChinese,詩,,,,詩,,*s.tə,*s.tə,syi,Odes,ad-14-113
word-220,OldChinese,愷,,,,愷,,*C.qʰˤəjʔ,*C.qʰˤəjʔ,khojX,serene,ad-14-115
word-221,OldChinese,悌,,,,悌,,*lˤəjʔ-s,*lˤəjʔ-s,dejH,happy,ad-14-115
word-222,OldChinese,父,,,,父,,*p(r)aʔ,*p(r)aʔ,pjuX,father,ad-14-116
word-223,OldChinese,母,,,,母,,*məʔ,*məʔ,muwX,mother,ad-14-116
word-224,OldChinese,如之何,,,,如之何,,*na // *tə // *[g]ˤaj,*na / *[g]ˤaj / *tə,tsyi / nyo / ha,how,ad-14-120
word-225,OldChinese,軍,,,,軍,,*[k]ʷər,*[k]ʷər,kjun,army,ad-15-122
word-226,OldChinese,君,,,,君,,*C.qur // ! *[ts]əʔ // *tsəʔ,! *[ts]əʔ / *tsəʔ / *C.qur,kjun / tsiX,the noble man,ad-15-123
word-227,OldChinese,自,,,,自,,*s.[b]i[t]-s ,*s.[b]i[t]-s ,dzijH,self,ad-15-123
word-228,OldChinese,率,,,,率,,! *[r]ut // *s-rut // *s-rut-s // *[r]ut-s,! *[r]ut / *s-rut-s / *s-rut / *[r]ut-s,// / lwijH / srwijH / lwit / srwit,lead,ad-15-123
word-229,OldChinese,二,,,,二,,*ni[j]-s,*ni[j]-s,nyijH,two,ad-15-124
word-230,OldChinese,將軍,,,,將軍,,*[ts]aŋ // *[k]ʷər,*[ts]aŋ / *[k]ʷər,tsjang / kjun,general,ad-15-124
,OldChinese,,,,,,,,*[ts]aŋ / *[k]ʷər,tsjang / kjun,general,ad-15-125 ad-25-221 ad-25-222
word-231,OldChinese,數,,,,數,,*s-rok,*s-rok,sraewk,number,ad-15-126
word-232,OldChinese,嬖,,,,嬖,,*pˤek-s,*pˤek-s,pejH,favourite,ad-15-126
word-233,OldChinese,大夫,,,,大夫,,*lˤa[t]-s // ! *ba // *[b]a // *p(r)a,*lˤa[t]-s / *[b]a / ! *ba / *p(r)a,// / bju / pju / dajH,grandees,ad-15-126
,OldChinese,,,,,,,,*pˤek-s,pejH,favourite / favour,ad-15-127 ad-21-179 ad-21-179
,OldChinese,,,,,,,,*lˤa[t]-s / *[b]a / ! *ba / *p(r)a,// / bju / pju / dajH,grandee / grandees,ad-15-127 ad-25-219 ad-25-220
,OldChinese,,,,,,,,*s-rok,sraewk,number,ad-15-128
word-234,OldChinese,官,,,,官,,*kʷˤa[n],*kʷˤa[n],kwan,official,ad-15-128
word-235,OldChinese,師,,,,師,,*srij,*srij,srij,multitude?,ad-15-128
word-236,OldChinese,公孫,,,,公孫,,*C.qˤoŋ // *[s]ˤu[n],*[s]ˤu[n] / *C.qˤoŋ,swon / kuwng,nephew of a duke,ad-15-128
word-237,OldChinese,公子,,,,公子,,*C.qˤoŋ // ! *[ts]əʔ // *tsəʔ,! *[ts]əʔ / *tsəʔ / *C.qˤoŋ,kuwng / tsiX,son of a duke,ad-15-128
,OldChinese,,,,,,,,*bəŋ,bjuwng,all,ad-15-129 ad-32-289 ad-34-305
word-238,OldChinese,司,,,,司,,*s-lə,*s-lə,si,administer,ad-15-129
,OldChinese,,,,,,,,! *[r]ut / *s-rut-s / *s-rut / *[r]ut-s,// / lwijH / srwijH / lwit / srwit,lead,ad-15-129 ad-18-156 ad-19-163 ad-22-190 ad-30-272
,OldChinese,,,,,,,,*Cə-[N]-traŋ,drjang,conduct / superior,ad-15-129 ad-21-180 ad-22-188 ad-22-196 ad-23-200
,OldChinese,,,,,,,,*tAʔ,tsyaeX,nominalization marker,ad-15-129 ad-18-159 ad-22-199 ad-29-261 ad-29-262 ad-31-276 ad-31-277 ad-31-278 ad-31-278 ad-37-334 ad-38-335 ad-39-347 ad-39-348 ad-40-358 ad-41-361 ad-41-364 ad-44-392
,OldChinese,,,,,,,,*[r]ˤok,luwk,emolument,ad-16-130 ad-33-291
,OldChinese,,,,,,,,*[ts]ewk,tsjak,honour,ad-16-130 ad-33-291
word-239,OldChinese,從,,,,從,,*tsoŋ // *[dz]oŋ-s // *[dz]oŋ,*[dz]oŋ-s / *[dz]oŋ / *tsoŋ,// / dzjowng / (tshjowng) / dzjowngH / tsjowng,follow,ad-16-131
,OldChinese,,,,,,,,*[k]ʷər,kjun,army / troop / military,ad-16-131 ad-17-148 ad-22-189 ad-22-197 ad-26-231 ad-26-237 ad-27-241 ad-30-269 ad-33-299 ad-43-376 ad-43-378
word-240,OldChinese,避,,,,避,,*[b]ek-s,*[b]ek-s,bjieH,avoid,ad-16-131
,OldChinese,,,,,,,,*[dz]ˤujʔ,dzwojX,crime,ad-16-131 ad-30-271
,OldChinese,,,,,,,,*lˤoŋ,duwng,same / together / unite,ad-16-132 ad-18-157 ad-45-395
word-241,OldChinese,都,,,,都,,*tˤa,*tˤa,tu,assembly,ad-16-133
,OldChinese,,,,,,,,*s.kˤraw-s,kaewH,teaching / teach,ad-16-133 ad-25-226 ad-43-383
word-242,OldChinese,合,,,,合,,*m-kˤop,*m-kˤop,hop,unite,ad-16-134
word-243,OldChinese,難,,,,難,,*nˤar,*nˤar,nan,difficult,ad-16-134
word-244,OldChinese,又,,,,又,,*[ɢ]ʷəʔ-s,*[ɢ]ʷəʔ-s,hjuwH,conjunction,ad-16-136
,OldChinese,,,,,,,,*na / *[g]ˤaj / *tə,tsyi / nyo / ha,how,ad-16-137 ad-21-184
word-245,OldChinese,車,,,,車,,*[t.qʰ](r)A,*[t.qʰ](r)A,tsyhae,chariot,ad-16-139
word-246,OldChinese,間,,,,間,,! *N-kˤre[n] // *kˤre[n] // *kˤre[n],*kˤre[n] / ! *N-kˤre[n],kean / // / hean,between ,ad-16-139
word-247,OldChinese,容,,,,容,,*[ɢ](r)oŋ,*[ɢ](r)oŋ,yowng,contain,ad-16-139
word-248,OldChinese,伍,,,,伍,,*C.ŋˤaʔ,*C.ŋˤaʔ,nguX,group of five,ad-16-139
,OldChinese,,,,,,,,*C.ŋˤaʔ,nguX,make a group of five / group of five,ad-17-140 ad-17-149
,OldChinese,,,,,,,,*kˤre[n] / ! *N-kˤre[n],kean / // / hean,between ,ad-17-140
,OldChinese,,,,,,,,*[ɢ](r)oŋ,yowng,contain,ad-17-140
,OldChinese,,,,,,,,*praŋ,pjaeng,weapon,ad-17-140 ad-17-145 ad-24-210 ad-24-212 ad-24-214 ad-24-215 ad-32-287 ad-34-301 ad-35-314 ad-41-367
,OldChinese,,,,,,,,*kuj-s,kjw+jH,noble,ad-17-141
word-249,OldChinese,位,,,,位,,*[ɢ]ʷrəp-s,*[ɢ]ʷrəp-s,hwijH,place,ad-17-141
word-250,OldChinese,重,,,,重,,*[m]-troŋ,*[m]-troŋ,drjowng,give weight to,ad-17-141
word-251,OldChinese,使,,,,使,,! *s-rəʔ-s // *s-rəʔ,! *s-rəʔ-s / *s-rəʔ,sriX / sriH / //,let,ad-17-142
word-252,OldChinese,前,,,,前,,*[dz]ˤen,*[dz]ˤen,dzen,front,ad-17-142
word-253,OldChinese,行,,,,行,,*[g]ˤaŋ // *Cə.[g]ˤraŋ // *[g]ˤraŋ-s,*[g]ˤaŋ / *Cə.[g]ˤraŋ / *[g]ˤraŋ-s,// / haeng / hang / haengH / (hangH),march,ad-17-142
,OldChinese,,,,,,,,*[g]ˤaŋ / *Cə.[g]ˤraŋ / *[g]ˤraŋ-s,// / haeng / hang / haengH / (hangH),march / line / go up,ad-17-143 ad-24-208 ad-27-243 ad-32-289 ad-34-304 ad-34-306 ad-34-308 ad-35-313
word-254,OldChinese,後,,,,後,,*[ɢ]ˤ(r)oʔ,*[ɢ]ˤ(r)oʔ,huwX,after,ad-17-143
word-255,OldChinese,茍,,,,茍,,*[k]ˤ(r)oʔ // **[k]ˤ(r)ək,**[k]ˤ(r)ək / *[k]ˤ(r)oʔ,kik,must,ad-17-145
,OldChinese,,,,,,,,*[k]ˤen-s / ! *N-[k]ˤen-s / *m-[k]ˤen-s,// / henH / kenH,see,ad-17-145 ad-31-279 ad-33-290 ad-39-344
word-256,OldChinese,短,,,,短,,*tˤorʔ,*tˤorʔ,twanX,short,ad-17-145
word-257,OldChinese,十,,,,十,,*t.[g]əp,*t.[g]əp,dzyip,ten,ad-17-146
,OldChinese,,,,,,,,*C.ŋˤaʔ,nguX,five,ad-17-146 ad-17-149
,OldChinese,,,,,,,,*kˤre[n] / ! *N-kˤre[n] / *tə,kean / // / tsyi / hean,between ,ad-17-146
,OldChinese,,,,,,,,*[s]ˤu[n] / *C.qˤoŋ,swon / kuwng,nephew of a duke,ad-17-147
,OldChinese,,,,,,,,! *[ts]əʔ / *tsəʔ / *C.qˤoŋ,kuwng / tsiX,son of a duke,ad-17-147
,OldChinese,,,,,,,,*[d]eʔ,dzyeX,really / this,ad-17-148 ad-44-387
word-258,OldChinese,謂,,,,謂,,*[ɢ]ʷə[t]-s,*[ɢ]ʷə[t]-s,hjw+jH,call,ad-17-148
word-259,OldChinese,紀,,,,紀,,*k(r)əʔ,*k(r)əʔ,kiX,discipline,ad-17-148
,OldChinese,,,,,,,,*ni[ŋ],nyin,person / other,ad-17-149 ad-18-150 ad-18-151 ad-21-187 ad-22-188 ad-24-214 ad-25-216 ad-25-218 ad-25-220 ad-25-222 ad-34-309 ad-41-362
word-260,OldChinese,一,,,,一,,*ʔi[t],*ʔi[t],jit,one,ad-18-150
word-261,OldChinese,多,,,,多,,*[t.l]ˤaj,*[t.l]ˤaj,ta,merit,ad-18-150
word-262,OldChinese,四,,,,四,,*s.li[j]-s,*s.li[j]-s,sijH,four,ad-18-151
word-263,OldChinese,皆,,,,皆,,*kˤrij,*kˤrij,keaj,all,ad-18-151
,OldChinese,,,,,,,,*s-taŋʔ,syangX,admire / norm,ad-18-151 ad-21-181 ad-29-259 ad-30-270 ad-33-292 ad-37-332 ad-39-343
word-264,OldChinese,敦,,,,敦,,*tˤur,*tˤur,// / twon / (twonH) / twoj,encourage,ad-18-152
word-265,OldChinese,尚,,,,尚,,*[d]aŋ-s,*[d]aŋ-s,dzyangH / (dzyang),admire,ad-18-153
word-266,OldChinese,獲,,,,獲,,*m-qʷˤrak,*m-qʷˤrak,hweak,gain,ad-18-153
,OldChinese,,,,,,,,*[d]aŋ-s,dzyangH / (dzyang),admire,ad-18-153 ad-21-186
word-267,OldChinese,退,,,,退,,*n̥ˤ[u]p-s,*n̥ˤ[u]p-s,thwojH,retire,ad-18-154
