ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,Character,Entry_IDS,Middle_Chinese_Forms,Old_Chinese_Forms,Glosses
word-ad-1,OldChinese,, *r.ŋˤaʔ,,,,魯,1 20,luX // luX, *r.ŋˤaʔ // *[r]ˤaʔ //  *r.ŋˤaʔ // *[r]ˤaʔ,
word-ad-2,OldChinese,,*[ts]raŋ,,,,莊公,2 110 179 254 459 521 593 680 716 757 893 945 982 1018 1054 1097 1233 1355 1414 1477 1519 1567 1617,tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng,*[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ,
word-ad-3,OldChinese,,*[ts]aŋ,,,,將,3 666 966 1124 1190 1261 1280 1292 1301 1317 1373,tsjang // tsjang // tsjang // tsjang // tsjang // tsjang // tsjang // tsjang // tsjang // tsjang // tsjang,*[ts]aŋ // *[ts]aŋ // *[ts]aŋ // *[ts]aŋ // *[ts]aŋ // *[ts]aŋ // *[ts]aŋ  // *[ts]aŋ // *[ts]aŋ // *[ts]aŋ // *[ts]aŋ,
word-ad-4,OldChinese,, *ɢʷ(r)aj,,,,為,4 410 461 517 523 589 596 616 652 663 719 760 784 1156 1283 1319,hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH, *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s,
word-ad-5,OldChinese,,*lˤa[t]-s,,,,大,5 45 356 532 553 1112 1555 1557 1677,dajH // dajH // dajH // dajH // dajH // dajH // dajH // dajH // dajH,*lˤa[t]-s // *lˤa[t]-s // *lˤa[t]-s // *lˤa[t]-s // *lˤa[t]-s // *lˤa[t]-s // *lˤa[t]-s // *lˤa[t]-s // *lˤa[t]-s,
word-ad-6,OldChinese,,*toŋ,,,,鍾,6 43 265,tsyowng // tsyowng // tsyowng,*toŋ // *toŋ // *toŋ,
word-ad-7,OldChinese,,*gˤeŋ,,,,型,7 266,heng // heng,*gˤeŋ // *gˤeŋ,
word-ad-8,OldChinese,,*[k]ə[t]-s,,,,既,8 116 947 1058 1086 1093 1246 1294 1315,kj+jH // kj+jH // kj+jH // kj+jH // kj+jH // kj+jH // kj+jH // kj+jH // kj+jH,*[k]ə[t]-s // *[k]ə[t]-s // *[k]ə[t]-s // *[k]ə[t]-s // *[k]ə[t]-s // *[k]ə[t]-s // *[k]ə[t]-s // *[k]ə[t]-s // *[k]ə[t]-s,
word-ad-9,OldChinese,,*m-[d]eŋ,,,,成,9 948 1002,dzyeng // dzyeng // dzyeng,*m-[d]eŋ // *m-[d]eŋ // *m-[d]eŋ,
word-ad-10,OldChinese,,*qəʔ,,,,矣,10 950 1663 1702,hiX // hiX // hiX // hiX,*qəʔ // *qəʔ // *qəʔ // *qəʔ,
